date,BRBG,thick,thin,,month,BRBG,thick,thin,,日云量,,,,,,,
2019/9/17,33.58,4.43,86.77,,2019年9月,553.26,200.29,1898.9,,,BRBG,thick,thin,,,,
2019/9/18,26.8,10.43,103.34,,2019年10月,1826.78,1159.96,3569.78,,7月前平均值,71.01697917,39.71152062,132.5027835,,,,
2019/9/19,25.01,5.84,54.26,,2019年11月,2466.57,1860.98,3719.16,,7月后平均值,58.6903268,25.3951634,144.4905229,,,,
2019/9/20,19.34,8.11,110.94,,2019年12月,2711.54,2355.01,3765.47,,add,-17%,-36%,9%,,,,
2019/9/21,10.06,4.22,107.01,,2020年1月,2662.87,2046.09,3882.06,,Ttest,0.355134549,0.062586377,0.002791687,,,,
2019/9/22,50.39,16.53,103.32,,2020年2月,1715.36,821.57,3888.73,,,,,,,,,
2019/9/23,44.77,5.13,156.01,,2020年3月,1916.11,221.02,4165.97,,,,,,,,,
2019/9/24,54.49,17.86,304.02,,2020年4月,2921.26,454.99,3590.53,,,,,,,,,
2019/9/25,45.25,19.31,173,,2020年5月,2257.2,459.34,4561.87,,2019年9月,39.51857143,14.30642857,135.6357143,,,,
2019/9/26,31.52,17.55,89.69,,2020年6月,1421.94,142.19,4124.04,,2020年9月,42.61266667,10.22666667,149.9616667,,,,
2019/9/27,24.23,14.47,104.37,,2020年7月,1058.8,132.34,4426.03,,add,8%,-29%,11%,,,,
2019/9/28,86.76,26.79,126.57,,2020年8月,989.22,126.6,4091.65,,ttest,0.329131518,0.042900952,0.278772409,,,,
2019/9/29,58.68,27.7,190.51,,2020年9月,1278.38,306.8,4498.85,,,,,,,,,
2019/9/30,42.38,21.92,189.09,,2020年10月,2606.11,1369.57,4389.75,,2019年10月,58.9283871,37.41806452,115.1541935,,,,
2019/10/1,42.41,27.78,117.28,,2020年11月,3047.11,1950.15,4700.77,,2020年10月,82.38966667,43.17466667,139.3413333,,,,
2019/10/2,56.73,30.25,223.01,,2020年12月,3210.38,2420.81,4387.83,,add,40%,15%,21%,,,,
2019/10/3,57.29,26.14,94.26,,2021年1月,3261.94,2256.46,3935.01,,ttest,0.002176642,0.032402212,0.066705986,,,,
2019/10/4,44.09,28.57,125.38,,2021年2月,2068.94,888.81,4189.87,,,,,,,,,
2019/10/5,36.79,30.68,20.12,,,,,,,2019年11月,82.219,62.03266667,123.972,,,,
2019/10/6,26,25.13,12.63,,,,,,,2020年11月,101.5703333,65.005,156.6923333,,,,
2019/10/7,46.08,29.94,103.28,,,,,,,add,24%,5%,26%,,,,
2019/10/8,49.37,33.12,48.1,,,,,,,ttest,0.015068997,0.217541198,0.009914999,,,,
2019/10/9,30.91,29.18,21,,,,,,,,,,,,,,
2019/10/10,86.1,28.04,122.88,,,,,,,,,,,,,,
2019/10/11,53.37,36.37,24.12,,,,,,,,,,,,,,
2019/10/12,22.28,0.54,177.87,,,,,,,,,,,,,,
2019/10/13,66.15,44.87,107.71,,,,,,,,,,,,,,
2019/10/14,101.57,49.39,285.53,,,,,,,随机对照试验,,,,,,,
2019/10/15,11.3,3.09,74.21,,,,,,,实验组,,,,对照组,,,
2019/10/16,38.78,32.17,145.18,,,,,,,7月1日,76.54,21.49,283.65,7月12日,23.05,6.32,143.21
2019/10/17,35.73,33.53,106.31,,,,,,,7月11日,9.17,0.9,34.55,7月13日,40.5,0.51,126.14
2019/10/18,38.29,33.02,107.3,,,,,,,7月16日,2.76,0.01,12.51,7月14日,39.74,3.97,207.06
2019/10/19,93.05,45.38,115.48,,,,,,,7月21日,46.83,2.27,159.87,7月19日,26.61,5.67,151.99
2019/10/20,83.37,45.72,224.04,,,,,,,7月23日,4.13,0.01,15.28,7月20日,60.05,7.71,131.84
2019/10/21,78.94,51.27,119.77,,,,,,,7月25日,40.98,8.15,168.2,7月24日,1.12,0.08,7.33
2019/10/22,66.67,47.51,162.04,,,,,,,7月26日,7.9,2.69,78.01,7月28日,22.72,5.7,141.82
2019/10/23,84.54,57.11,43.1,,,,,,,7月29日,52.26,7.81,124.29,7月31日,56.09,0.11,103.65
2019/10/24,90.94,47.2,214.16,,,,,,,8月1日,33.94,6.77,198.33,8月4日,14.32,2.67,72.72
2019/10/25,96.05,52.14,151.37,,,,,,,8月2日,43.19,2.77,94.45,8月8日,23.9,2.22,192.08
2019/10/26,44.93,41.78,104.03,,,,,,,8月6日,30.12,5.65,147.22,8月9日,44.96,3.43,250.67
2019/10/27,112.59,48.07,102.91,,,,,,,8月10日,65.41,5.71,112.09,9月15日,46.28,8.46,221.03
2019/10/28,44.26,43.46,100.1,,,,,,,8月12日,32.7,1.02,253.71,9月16日,66.27,4.94,91.54
2019/10/29,52.85,46.35,121.39,,,,,,,8月13日,54.01,9.79,233.06,9月17日,23.54,4.45,151.12
2019/10/30,65.22,51.98,141.95,,,,,,,8月24日,23.53,2.93,119.66,9月18日,19.31,8.14,82.77
2019/10/31,70.13,60.18,53.27,,,,,,,8月25日,31.87,6,212.96,9月19日,36.82,8.27,225.86
2019/11/1,53.57,50.12,130.24,,,,,,,8月26日,14.18,3.71,99.65,9月20日,63.77,10.88,148.5
2019/11/2,46.98,47.08,93.35,,,,,,,8月27日,48.97,2.35,195.65,9月21日,14.35,9.71,28.26
2019/11/3,63.35,54.52,119.59,,,,,,,8月28日,25.87,4.66,152.76,9月22日,99.82,18.32,290.13
2019/11/4,1.42,0,42.06,,,,,,,8月29日,2.11,1.17,26.75,7月3日,16.23,2.8,81.11
2019/11/5,122.76,59.53,169.87,,,,,,,8月30日,27.32,3.67,70.43,7月15日,38.05,2.18,272
2019/11/6,125,73.72,102.99,,,,,,,8月31日,21.37,2.01,151.75,9月25日,68.36,12.78,158.87
2019/11/7,107.99,78.39,191.71,,,,,,,9月1日,55.77,6.07,316.86,10月2日,77.88,27.38,132.92
2019/11/8,89.95,76.67,125.36,,,,,,,9月2日,7.82,1.69,95.19,,,,
2019/11/9,69.37,47.46,94.85,,,,,,,9月3日,33.09,4.18,242.52,,,,
2019/11/10,55.45,49.36,95.13,,,,,,,9月4日,19.72,7.07,100.18,,,,
2019/11/11,79.88,56.43,148.85,,,,,,,9月5日,30.61,6.63,108.41,,,,
2019/11/12,66.66,59.87,19.25,,,,,,,9月6日,26.59,3.58,116.71,,,,
2019/11/13,56.31,50.81,95.78,,,,,,,9月7日,34.71,5.44,191.66,,,,
2019/11/14,57.72,55.47,77.48,,,,,,,9月8日,28.28,0.2,67.92,,,,
2019/11/15,58.05,58.99,118.9,,,,,,,9月9日,45.38,11.7,203.08,,,,
2019/11/16,116.38,69.32,179.56,,,,,,,9月10日,44.94,14.96,218.86,,,,
2019/11/17,79.05,65.51,122.76,,,,,,,9月11日,47.31,5.32,268.63,,,,
2019/11/18,77.67,60.26,158.23,,,,,,,9月12日,38.21,2.35,101.69,,,,
2019/11/19,86.65,66.62,158.79,,,,,,,9月13日,20.96,3.05,72.52,,,,
2019/11/20,65.53,62.66,117.59,,,,,,,9月14日,46.42,11.41,178.63,,,,
2019/11/21,65.66,59.95,82.85,,,,,,,9月23日,80.92,17.37,217.26,,,,
2019/11/22,85.57,68.54,180.2,,,,,,,9月24日,59.24,15.17,171.02,,,,
2019/11/23,131.99,74.81,184.93,,,,,,,9月25日,68.36,12.78,158.87,,,,
2019/11/24,96.32,70.4,190.1,,,,,,,9月26日,74.23,18.91,143.68,,,,
2019/11/25,66.58,65.27,106.52,,,,,,,9月27日,70.41,24.81,177.38,,,,
2019/11/26,73.13,68.28,103.57,,,,,,,9月28日,24.04,19.89,15.36,,,,
2019/11/27,79.79,71.6,136.41,,,,,,,9月29日,27.85,18.84,70.46,,,,
2019/11/28,101.9,75.32,171.94,,,,,,,9月30日,23.36,22.21,22.75,,,,
2019/11/29,159.37,83.56,148.61,,,,,,,,,,,,,,
