year,month,day,hour,P,T,RH,RPH,WD,WV
2014,1,1,0,717.7,-6,10,0,208,6.6
2014,1,1,1,718.2,-4,10,0,197,3.2
2014,1,1,2,718.4,-2.2,9,0,179,3.5
2014,1,1,3,718.3,-3.2,12,0,117,2.6
2014,1,1,4,717.7,-3.7,16,0,101,2.1
2014,1,1,5,716.6,-2.9,19,0,98,2.6
2014,1,1,6,716.1,-2.9,17,0,65,2.7
2014,1,1,7,715.4,-2.9,19,0,72,3.9
2014,1,1,8,715.6,-4.4,21,0,73,4.1
2014,1,1,9,715.6,-5.1,25,0,69,5
2014,1,1,10,715.9,-7.4,29,0,95,4.1
2014,1,1,11,716.3,-7.4,30,0,105,3.8
2014,1,1,12,716.6,-5.8,26,0,135,5.6
2014,1,1,13,717.3,-6.4,29,0,165,5
2014,1,1,14,717.6,-6.3,29,0,206,2.4
2014,1,1,15,717.8,-6.7,30,0,225,3.9
2014,1,1,16,717.6,-7.1,32,0,208,2.5
2014,1,1,17,717,-7.4,34,0,72,2.3
2014,1,1,18,717,-7.4,35,0,293,1.4
2014,1,1,19,717.2,-8,37,0,273,2.4
2014,1,1,20,716.9,-8.1,39,0,337,1.9
2014,1,1,21,716,-8.7,39,0,86,2.9
2014,1,1,22,716.7,-8.5,36,0,102,1.2
2014,1,1,23,716.5,-9.9,43,0,59,2.9
2014,1,2,0,717.1,-10.7,47,0,37,5.6
2014,1,2,1,717.6,-10.4,45,0,36,5.1
2014,1,2,2,718.3,-9.4,43,0,14,3.1
2014,1,2,3,719,-8.3,40,0,211,1.7
2014,1,2,4,718.6,-9.2,37,0,299,4.7
2014,1,2,5,718.1,-9.7,38,0,311,6.1
2014,1,2,6,717.9,-7.1,35,0,320,4.3
2014,1,2,7,718,-8.3,31,0,326,4.8
2014,1,2,8,718.4,-9.2,30,0,284,5.4
2014,1,2,9,719.1,-9.3,32,0,324,4
2014,1,2,10,719.3,-11.1,37,0,290,6.2
2014,1,2,11,719.5,-11.2,38,0,294,10.2
2014,1,2,12,719.8,-10.9,38,0,300,13.8
2014,1,2,13,719.6,-10.6,44,0,317,15.5
2014,1,2,14,720.1,-11.1,47,0,315,15.3
2014,1,2,15,720.5,-11.6,45,0,305,12.3
2014,1,2,16,720.3,-11.2,43,0,302,15.8
2014,1,2,17,719.4,-11.1,41,0,294,14.5
2014,1,2,18,719.2,-11.6,43,0,294,16.1
2014,1,2,19,719.3,-11.7,45,0,294,16.4
2014,1,2,20,719,-12,47,0,293,14.8
2014,1,2,21,718.8,-11.8,46,0,299,14.8
2014,1,2,22,719.1,-11.7,43,0,300,15.1
2014,1,2,23,719.2,-11.8,43,0,299,13.4
2014,1,3,0,719.9,-11.2,37,0,298,13.2
2014,1,3,1,720.3,-10.3,33,0,300,12.1
2014,1,3,2,721.1,-9.2,31,0,302,9.7
2014,1,3,3,721.5,-8,28,0,301,7.6
2014,1,3,4,721.3,-8.4,27,0,282,6.6
2014,1,3,5,720.7,-6.3,26,0,303,2.1
2014,1,3,6,720.4,-6.9,28,0,259,4
2014,1,3,7,720.4,-6.5,28,0,249,3.5
2014,1,3,8,720.7,-7.5,30,0,273,4
2014,1,3,9,720.6,-8,30,0,272,7.2
2014,1,3,10,720.9,-8.5,27,0,299,7.4
2014,1,3,11,721.6,-9.2,29,0,295,5.6
2014,1,3,12,721.9,-9.4,26,0,295,6
2014,1,3,13,721.9,-9.1,22,0,313,10.2
2014,1,3,14,722.3,-9.5,22,0,303,8.3
2014,1,3,15,722.2,-10,24,0,293,6.5
2014,1,3,16,721.6,-10.1,24,0,293,7.7
2014,1,3,17,721.1,-10.4,27,0,288,6.8
2014,1,3,18,720.7,-10.1,26,0,290,7.3
2014,1,3,19,720.4,-10.2,26,0,291,7
2014,1,3,20,720.1,-10.1,25,0,281,9.2
2014,1,3,21,719.5,-9.9,24,0,238,9.9
2014,1,3,22,719.2,-9.7,24,0,225,11.9
2014,1,3,23,719.4,-10.1,27,0,219,9.6
2014,1,4,0,719.6,-10.2,27,0,221,9.6
2014,1,4,1,720.1,-9.6,25,0,221,8.4
2014,1,4,2,720.3,-7.9,23,0,210,8.3
2014,1,4,3,720.2,-6.7,24,0,217,7.8
2014,1,4,4,719.5,-5.5,24,0,226,6.7
2014,1,4,5,718.8,-4.2,21,0,217,6.2
2014,1,4,6,718.1,-4.1,21,0,222,6
2014,1,4,7,717.7,-3.8,21,0,226,6
2014,1,4,8,717.7,-4.1,21,0,232,5.6
2014,1,4,9,717.7,-4.6,21,0,227,5.7
2014,1,4,10,717.8,-6.2,23,0,225,4.9
2014,1,4,11,717.9,-6.5,24,0,234,2.7
2014,1,4,12,718.1,-6.5,23,0,232,3.3
2014,1,4,13,718.1,-6.1,20,0,251,5
2014,1,4,14,717.9,-6.7,23,0,226,5.8
2014,1,4,15,718,-6.9,23,0,200,5.1
2014,1,4,16,717.7,-6.2,18,0,214,6.6
2014,1,4,17,717.1,-5.8,14,0,175,1.5
2014,1,4,18,717.3,-6.4,14,0,199,3.6
2014,1,4,19,717.1,-5.8,10,0,167,3.3
2014,1,4,20,716.4,-5.7,11,0,110,3
2014,1,4,21,715.9,-6.1,17,0,135,5.1
2014,1,4,22,715.3,-5.5,11,0,150,7.5
2014,1,4,23,715.5,-4.9,12,0,186,6.1
2014,1,5,0,715.6,-6.8,29,0,224,8.2
2014,1,5,1,716,-6.6,36,0,225,9.3
2014,1,5,2,716.3,-5.5,31,0,215,8.1
2014,1,5,3,716.2,-4.3,30,0,202,5.6
2014,1,5,4,715.6,-3.4,27,0,236,3.2
2014,1,5,5,714.7,-2.7,28,0,176,3.1
2014,1,5,6,713.8,-4.7,37,0,82,3.4
2014,1,5,7,713.3,-4.6,38,0,79,3.3
2014,1,5,8,713.2,-6.4,43,0,118,3.1
2014,1,5,9,713.4,-5.3,38,0,198,1.8
2014,1,5,10,713.6,-6.4,43,0,160,4.9
2014,1,5,11,714.4,-6.6,54,0,195,2.5
2014,1,5,12,714.7,-6.7,69,0,191,3.2
2014,1,5,13,714.5,-6.9,75,0,168,4.2
2014,1,5,14,714.8,-6.9,67,0,192,3.2
2014,1,5,15,714.7,-7.9,84,0,229,5.3
2014,1,5,16,714.2,-7.9,83,0,201,3.1
2014,1,5,17,713.8,-8.3,87,0,226,6.3
2014,1,5,18,713.7,-8.5,78,0,221,6.6
2014,1,5,19,713.7,-8.6,79,0,223,5.7
2014,1,5,20,713.4,-8.5,85,0,231,4
2014,1,5,21,713.1,-7.9,93,0,230,5.3
2014,1,5,22,713,-7.4,93,0,231,6.6
2014,1,5,23,713.5,-7.6,92,0.1,229,6.1
2014,1,6,0,713.7,-7.5,92,0.2,213,3
2014,1,6,1,713.9,-7.3,92,0.1,208,2.3
2014,1,6,2,714.4,-7.2,92,0.4,208,2.3
2014,1,6,3,714.8,-7.1,92,0.3,205,1.8
2014,1,6,4,714.4,-6.5,93,0.7,221,1.2
2014,1,6,5,713.8,-7.2,92,0.3,260,1.3
2014,1,6,6,713.2,-7.6,92,0.2,273,0.7
2014,1,6,7,713.2,-8.6,91,0.3,22,1.9
2014,1,6,8,713.6,-9.5,90,0.2,18,4.5
2014,1,6,9,713.8,-10.5,89,0.1,34,6.6
2014,1,6,10,714.3,-12.8,87,0,46,5.1
2014,1,6,11,714.7,-13.4,87,0,36,6.1
2014,1,6,12,715.8,-13.8,87,0,34,6.8
2014,1,6,13,716.1,-13.9,87,0,37,8.1
2014,1,6,14,716.1,-14.4,86,0,30,8.9
2014,1,6,15,716.2,-14.6,86,0,20,11.6
2014,1,6,16,716.4,-14.4,85,0,35,8.3
2014,1,6,17,716.1,-15,84,0,33,8.9
2014,1,6,18,716,-14.8,86,0,36,8.4
2014,1,6,19,716.5,-14.3,87,0,25,8.9
2014,1,6,20,716.2,-15.4,85,0,33,7.3
2014,1,6,21,716.2,-15.1,86,0,31,9.1
2014,1,6,22,716.4,-15.2,86,0,37,6.9
2014,1,6,23,717,-14.9,86,0,28,8.2
2014,1,7,0,717.2,-15.9,82,0,30,7.5
2014,1,7,1,718.1,-15.1,78,0,31,8.7
2014,1,7,2,719,-13.5,73,0,42,7.3
2014,1,7,3,719.2,-12.2,65,0,36,6.7
2014,1,7,4,718.4,-12.4,59,0,32,9.2
2014,1,7,5,717.9,-12.3,62,0,39,8.1
2014,1,7,6,717.8,-12,63,0,39,6.4
2014,1,7,7,718,-14.1,61,0,52,8
2014,1,7,8,718.5,-14.8,58,0,41,8.7
2014,1,7,9,719,-16.1,61,0,47,8.5
2014,1,7,10,719.4,-16.8,54,0,31,12
2014,1,7,11,720.4,-17.3,53,0,25,9.5
2014,1,7,12,720.9,-17.5,62,0,23,10.3
2014,1,7,13,721.6,-17.5,71,0,13,8.8
2014,1,7,14,722.3,-16.7,76,0,359,5.3
2014,1,7,15,722.6,-16.3,72,0,354,3.7
2014,1,7,16,722.4,-16.2,70,0,340,4.7
2014,1,7,17,722,-16.9,67,0,34,6.1
2014,1,7,18,721.3,-17.3,66,0,11,10.3
2014,1,7,19,721.6,-17.1,64,0,9,5.8
2014,1,7,20,721.4,-17.3,64,0,299,1.3
2014,1,7,21,721,-16.5,59,0,322,3.6
2014,1,7,22,720.8,-16.6,52,0,320,4.4
2014,1,7,23,720.7,-16.7,46,0,304,1.8
2014,1,8,0,720.8,-16,41,0,348,3.7
2014,1,8,1,721.3,-15.6,39,0,355,3.3
2014,1,8,2,722,-12.8,34,0,297,2
2014,1,8,3,721.9,-12.7,38,0,243,1.3
2014,1,8,4,721.5,-11.9,47,0,196,1.9
