year,month,day,hour,P,T,RH,RPH,WD,WV
2013,6,1,0,723,11.1,40,0,307,5.8
2013,6,1,1,723.3,12.5,38,0,309,3.7
2013,6,1,2,723.5,13.7,39,0,316,2.6
2013,6,1,3,723.8,14,37,0,306,2.6
2013,6,1,4,723.8,14.8,33,0,302,2.2
2013,6,1,5,723.8,16.3,30,0,314,2.2
2013,6,1,6,723.4,18.3,27,0,5,1.3
2013,6,1,7,723,17.5,28,0,59,3
2013,6,1,8,722.8,17.5,25,0,74,2.6
2013,6,1,9,722.6,16,27,0,75,2.2
2013,6,1,10,722.4,16.6,28,0,87,1.7
2013,6,1,11,722.7,15.8,31,0,75,3.1
2013,6,1,12,723,14,30,0,71,1.9
2013,6,1,13,723.3,13.5,31,0,278,1.4
2013,6,1,14,723.7,12.1,46,0,242,5.7
2013,6,1,15,723.8,11.7,52,0,245,7.5
2013,6,1,16,723.6,11.6,49,0,238,6.3
2013,6,1,17,723.3,11.5,48,0,231,5.7
2013,6,1,18,722.9,11.3,47,0,240,5.9
2013,6,1,19,722.5,11.1,44,0,238,8.5
2013,6,1,20,722.3,10.3,64,0,238,8.8
2013,6,1,21,722.3,10.3,63,0,240,8.2
2013,6,1,22,722.6,10.7,57,0,242,8.5
2013,6,1,23,722.9,11,56,0,246,7.8
2013,6,2,0,723.2,12.2,43,0,246,6.5
2013,6,2,1,723.3,12.9,47,0,241,7.5
2013,6,2,2,723.5,14.1,38,0,241,7.7
2013,6,2,3,723.5,15.1,42,0,234,7.4
2013,6,2,4,723.2,16.1,35,0,239,5.9
2013,6,2,5,722.6,16.3,38,0,254,7.2
2013,6,2,6,721.8,16.6,40,0,252,7.5
2013,6,2,7,721.5,17.1,40,0,255,6.2
2013,6,2,8,721.5,15.9,39,0,262,3.8
2013,6,2,9,721.2,15.6,37,0,258,2.1
2013,6,2,10,721.1,16,43,0,56,2.1
2013,6,2,11,722.2,12.9,49,0,53,6
2013,6,2,12,723.3,10.1,58,0,311,13.8
2013,6,2,13,722.9,9,57,0.3,197,7.7
2013,6,2,14,722.4,10.5,39,0.1,242,4.2
2013,6,2,15,722.2,11.4,35,0,248,6.4
2013,6,2,16,722,12,36,0,251,6.5
2013,6,2,17,721.6,11.1,43,0,245,9.1
2013,6,2,18,721.4,10.4,44,0,239,9.7
2013,6,2,19,721.2,10.1,49,0,241,8.8
2013,6,2,20,721.1,9.9,53,0,233,9.6
2013,6,2,21,721.2,8.7,65,0,232,9.6
2013,6,2,22,721.3,11.2,51,0,258,7.4
2013,6,2,23,721.5,12.6,44,0,288,8.2
2013,6,3,0,721.7,12.8,48,0,290,7.3
2013,6,3,1,722.2,13.1,54,0,279,3
2013,6,3,2,722.4,14,56,0,299,1.7
2013,6,3,3,722.4,15,59,0,259,2.7
2013,6,3,4,722.4,16.5,59,0,271,2.3
2013,6,3,5,722.2,15.8,62,0,42,1.5
2013,6,3,6,721.7,16.1,56,0,120,1.9
2013,6,3,7,721.5,15.7,43,0,157,5
2013,6,3,8,721.3,15.8,54,0,108,3
2013,6,3,9,721,17.5,49,0,249,3.7
2013,6,3,10,721.1,17.6,49,0,274,2.5
2013,6,3,11,721.2,15.6,56,0,264,2.8
2013,6,3,12,721.6,13.4,74,0,246,4.4
2013,6,3,13,721.7,11.8,86,0,243,5.2
2013,6,3,14,722.1,11.6,55,0,244,3.9
2013,6,3,15,722.1,11.4,54,0,246,7
2013,6,3,16,721.7,10.9,62,0,243,7.7
2013,6,3,17,721.3,10.3,75,0,242,7.5
2013,6,3,18,721,9.9,80,0,242,8.1
2013,6,3,19,720.8,8.5,92,0,239,8.3
2013,6,3,20,720.4,9.5,79,0,243,8.8
2013,6,3,21,720.3,8.5,93,0,231,11.5
2013,6,3,22,720.4,8.2,94,0,233,12.8
2013,6,3,23,720.2,8.4,94,0,238,13.6
2013,6,4,0,720.5,8.6,94,0,240,13
2013,6,4,1,720.9,9,94,0,242,11.9
2013,6,4,2,721.1,9.5,91,0,243,12
2013,6,4,3,721.4,11.4,80,0,250,8
2013,6,4,4,721.1,13.6,68,0,239,8
2013,6,4,5,721.1,15.1,69,0,244,5.3
2013,6,4,6,721,15.7,67,0,268,4
2013,6,4,7,721,17,60,0,265,4.2
2013,6,4,8,720.8,16.8,59,0,248,5.4
2013,6,4,9,720.5,17.4,55,0,271,2.7
2013,6,4,10,720.4,16.9,55,0,269,2.1
2013,6,4,11,720.4,14.3,65,0,248,3.5
2013,6,4,12,720.4,12.6,69,0,260,2.7
2013,6,4,13,720.2,11.3,80,0,240,6.1
2013,6,4,14,720.5,10.5,83,0,242,11.6
2013,6,4,15,720.4,10.1,88,0,239,13.7
2013,6,4,16,720,10,89,0,242,13.7
2013,6,4,17,720.2,10,91,0,240,12
2013,6,4,18,720,9.9,92,0,241,13.6
2013,6,4,19,719.6,9.8,93,0,244,14.9
2013,6,4,20,719.6,9.8,93,0,247,13.9
2013,6,4,21,719.2,9.8,94,0,246,13.1
2013,6,4,22,719.6,9.8,94,0,242,12.6
2013,6,4,23,720.1,9.9,94,0,240,10.6
2013,6,5,0,720.6,10,94,0,246,9.5
2013,6,5,1,721.4,10.2,94,0,241,7.7
2013,6,5,2,721.4,10.3,94,0,249,7.8
2013,6,5,3,721.5,10.6,94,0,249,7.4
2013,6,5,4,721.7,10.9,95,0,249,6.3
2013,6,5,5,721.9,11,94,0,246,5.5
2013,6,5,6,721.9,10.7,94,0,245,5.1
2013,6,5,7,721.6,11.6,90,0,251,4.5
2013,6,5,8,721.3,12.1,88,0,251,4.7
2013,6,5,9,721.1,12.6,83,0,256,3.4
2013,6,5,10,721.1,14.2,70,0,258,2.8
2013,6,5,11,721.3,11.6,91,0,242,3.7
2013,6,5,12,721.4,11,92,0,235,3.3
2013,6,5,13,721.5,10.5,93,0,209,2.4
2013,6,5,14,721.9,10.3,87,0,235,5.2
2013,6,5,15,721.9,9.7,90,0,223,3.1
2013,6,5,16,721.9,9.5,91,0,259,1.2
2013,6,5,17,721.5,10.8,82,0,224,1.9
2013,6,5,18,721.5,11,78,0,0,0.2
2013,6,5,19,721.2,10.1,83,0,250,3
2013,6,5,20,720.8,11.8,81,0,316,2.5
2013,6,5,21,720.8,10.2,90,0,239,3.3
2013,6,5,22,721.3,10,92,0,309,3.9
2013,6,5,23,721.6,10.7,92,0,333,3.4
2013,6,6,0,721.6,11.8,87,0,33,4.2
2013,6,6,1,722,12.3,85,0,35,4.7
2013,6,6,2,722.3,13.1,85,0,45,6.5
2013,6,6,3,722.6,13.1,85,0,61,2.8
2013,6,6,4,722.5,15.2,75,0,51,4.3
2013,6,6,5,722.5,16.8,73,0,52,5.4
2013,6,6,6,722.3,16.8,74,0,59,5.3
2013,6,6,7,722,17.9,70,0,68,5.1
2013,6,6,8,721.5,12.8,86,0,103,5.1
2013,6,6,9,721.5,13.6,83,0,71,3.8
2013,6,6,10,722,12.5,89,0.1,68,5
2013,6,6,11,721,11.5,63,26.9,129,3.7
2013,6,6,12,721.5,12.3,59,0,57,6.2
2013,6,6,13,721.9,10.7,80,0,77,6.1
2013,6,6,14,722.6,10.3,90,0,75,5.4
2013,6,6,15,722.8,10.7,81,0,87,4.5
2013,6,6,16,722.7,10.4,86,0,85,2.3
2013,6,6,17,722.3,10.3,85,0,160,3.7
2013,6,6,18,722.1,10.7,80,0,230,3.2
2013,6,6,19,721.8,9.9,87,0,217,4.9
2013,6,6,20,721.6,9.9,79,0,227,5.1
2013,6,6,21,721.6,9.9,60,0,219,3.7
2013,6,6,22,721.4,10.3,55,0,238,1.8
2013,6,6,23,721.6,12.6,56,0,47,1.6
2013,6,7,0,722,14.6,57,0,62,2.5
2013,6,7,1,722.2,15.2,60,0,62,2.8
2013,6,7,2,722.4,15.7,56,0,64,2.7
2013,6,7,3,722.7,16.5,33,0,60,3.3
2013,6,7,4,722.2,17,47,0,81,5.2
2013,6,7,5,721.6,17.3,34,0,84,8.3
2013,6,7,6,721.4,18,34,0,83,6.9
2013,6,7,7,721.2,17.9,43,0,89,4.1
