time,RPH,year,month,day
2008-06-30,66.7,2008,6,30
2008-07-31,92.5,2008,7,31
2008-08-31,73.10000000000005,2008,8,31
2008-09-30,163.89999999999972,2008,9,30
2009-06-30,16.800000000000004,2009,6,30
2009-07-31,84.29999999999994,2009,7,31
2009-08-31,193.9999999999998,2009,8,31
2009-09-30,74.69999999999997,2009,9,30
2010-06-30,73.00000000000004,2010,6,30
2010-07-31,174.7,2010,7,31
2010-08-31,101.20000000000003,2010,8,31
2010-09-30,82.90000000000005,2010,9,30
2011-06-30,44.50000000000001,2011,6,30
2011-07-31,151.1999999999999,2011,7,31
2011-08-31,157.19999999999987,2011,8,31
2011-09-30,178.89999999999992,2011,9,30
2012-06-30,89.20000000000002,2012,6,30
2012-07-31,83.7,2012,7,31
2012-08-31,176.20000000000005,2012,8,31
2012-09-30,87.10000000000002,2012,9,30
2013-06-30,83.60000000000002,2013,6,30
2013-07-31,287.4000000000001,2013,7,31
2013-08-31,166.89999999999995,2013,8,31
2013-09-30,125.79999999999997,2013,9,30
2014-01-31,1.0,2014,1,31
2014-02-28,22.100000000000016,2014,2,28
2014-03-31,17.0,2014,3,31
2014-04-30,86.30000000000004,2014,4,30
2014-05-31,18.0,2014,5,31
2014-06-30,75.19999999999997,2014,6,30
2014-07-31,47.3,2014,7,31
2014-08-31,80.00000000000004,2014,8,31
2014-09-30,226.89999999999992,2014,9,30
2014-10-31,36.20000000000001,2014,10,31
2014-11-30,14.699999999999983,2014,11,30
2014-12-31,1.3,2014,12,31
2015-04-30,90.9,2015,4,30
2015-05-31,87.4,2015,5,31
2015-06-30,104.09999999999997,2015,6,30
2015-07-31,44.7,2015,7,31
2015-08-31,116.09999999999992,2015,8,31
2015-09-30,130.39999999999992,2015,9,30
2015-10-31,36.70000000000001,2015,10,31
2015-11-30,27.39999999999999,2015,11,30
2015-12-31,10.099999999999994,2015,12,31
2016-01-31,4.199999999999998,2016,1,31
2016-02-29,3.6000000000000005,2016,2,29
2016-03-31,24.60000000000002,2016,3,31
2016-04-30,38.60000000000001,2016,4,30
2016-05-31,62.10000000000003,2016,5,31
2016-06-30,98.10000000000002,2016,6,30
2016-07-31,101.59999999999997,2016,7,31
2016-08-31,76.3,2016,8,31
2016-09-30,42.0,2016,9,30
2016-10-31,59.20000000000002,2016,10,31
2016-11-30,2.0,2016,11,30
2016-12-31,1.9000000000000004,2016,12,31
2017-01-31,2.600000000000001,2017,1,31
2017-02-28,15.2,2017,2,28
2017-03-31,57.30000000000002,2017,3,31
2017-04-30,11.199999999999996,2017,4,30
2017-05-31,69.40000000000002,2017,5,31
2017-06-30,96.59999999999998,2017,6,30
2017-07-31,66.79999999999997,2017,7,31
2017-08-31,233.59999999999974,2017,8,31
2017-09-30,30.300000000000033,2017,9,30
2017-10-31,84.59999999999997,2017,10,31
2017-11-30,1.6,2017,11,30
2017-12-31,0.1,2017,12,31
