time,RPH,year,month,day
2008-06-30,76.49999999999993,2008,6,30
2008-07-31,50.90000000000001,2008,7,31
2008-08-31,63.00000000000002,2008,8,31
2008-09-30,115.69999999999992,2008,9,30
2009-06-30,26.4,2009,6,30
2009-07-31,83.79999999999998,2009,7,31
2009-08-31,111.59999999999997,2009,8,31
2009-09-30,40.10000000000001,2009,9,30
2010-06-30,26.600000000000005,2010,6,30
2010-07-31,92.29999999999998,2010,7,31
2010-08-31,76.8,2010,8,31
2010-09-30,69.9,2010,9,30
2011-06-30,35.70000000000001,2011,6,30
2011-07-31,90.70000000000002,2011,7,31
2011-08-31,141.20000000000005,2011,8,31
2011-09-30,96.9,2011,9,30
2012-06-30,88.09999999999998,2012,6,30
2012-07-31,73.09999999999998,2012,7,31
2012-08-31,110.79999999999998,2012,8,31
2012-09-30,65.30000000000003,2012,9,30
2013-06-30,113.60000000000002,2013,6,30
2013-07-31,284.99999999999983,2013,7,31
2013-08-31,63.80000000000001,2013,8,31
2013-09-30,128.29999999999998,2013,9,30
2014-01-31,2.2,2014,1,31
2014-02-28,10.599999999999994,2014,2,28
2014-03-31,12.199999999999996,2014,3,31
2014-04-30,76.4,2014,4,30
2014-05-31,15.8,2014,5,31
2014-06-30,94.39999999999998,2014,6,30
2014-07-31,67.30000000000001,2014,7,31
2014-08-31,52.30000000000002,2014,8,31
2014-09-30,161.4,2014,9,30
2014-10-31,34.80000000000002,2014,10,31
2014-11-30,12.699999999999996,2014,11,30
2014-12-31,1.9000000000000004,2014,12,31
2015-04-30,73.80000000000003,2015,4,30
2015-05-31,64.19999999999999,2015,5,31
2015-06-30,51.10000000000001,2015,6,30
2015-07-31,46.100000000000016,2015,7,31
2015-08-31,79.0,2015,8,31
2015-09-30,55.30000000000002,2015,9,30
2015-10-31,28.70000000000001,2015,10,31
2015-11-30,16.099999999999994,2015,11,30
2015-12-31,9.499999999999998,2015,12,31
2016-01-31,2.6,2016,1,31
2016-02-29,5.1000000000000005,2016,2,29
2016-03-31,8.699999999999996,2016,3,31
2016-04-30,41.20000000000002,2016,4,30
2016-05-31,63.50000000000002,2016,5,31
2016-06-30,101.19999999999996,2016,6,30
2016-07-31,54.50000000000002,2016,7,31
2016-08-31,42.4,2016,8,31
2016-09-30,35.4,2016,9,30
2016-10-31,48.20000000000003,2016,10,31
2016-11-30,2.0000000000000004,2016,11,30
2016-12-31,0.7,2016,12,31
2017-01-31,2.700000000000001,2017,1,31
2017-02-28,11.4,2017,2,28
2017-03-31,16.299999999999994,2017,3,31
2017-04-30,11.4,2017,4,30
2017-05-31,72.79999999999997,2017,5,31
2017-06-30,149.09999999999997,2017,6,30
2017-07-31,68.9,2017,7,31
2017-08-31,167.09999999999988,2017,8,31
2017-09-30,24.800000000000008,2017,9,30
2017-10-31,60.100000000000016,2017,10,31
2017-11-30,0.30000000000000004,2017,11,30
2017-12-31,0.2,2017,12,31
