time,P,T,RH,RPH,WD,WV,year,month,day,WV_X,WV_Y,RPH_ld,RPH_jy
2008/6/30,721.2847222,10.85652778,71.24722222,74.4,165.3027778,5.509305556,2008,6,30,-5.329041376,1.397771696,76.5,66.7
2008/7/31,745.5786111,13.23263889,81.34861111,63.1,167.8027778,5.758194444,2008,7,31,-5.62820976,1.216576407,50.9,92.5
2008/8/31,747.2269444,11.65388889,80.425,68,178.4722222,5.151944444,2008,8,31,-5.150113013,0.137359045,63,73.1
2008/9/30,700.1279167,8.11875,79.07777778,165.5,157.525,5.069444444,2008,9,30,-4.684401999,1.937948629,115.7,163.9
2009/6/30,721.2019444,12.25833333,51.24305556,14.4,172.0666667,5.401388889,2009,6,30,-5.349693998,0.745503896,26.4,16.8
2009/7/31,745.4938889,13.17361111,78.71944444,111.2,180.9375,5.241944444,2009,7,31,-5.241242747,-0.085767288,83.8,84.3
2009/8/31,748.2255556,11.17569444,88.3875,146.1,168.9916667,5.6225,2009,8,31,-5.519042745,1.0736263,111.6,194
2009/9/30,700.6025,8.301805556,81.02638889,56.5,165.2916667,4.979444444,2009,9,30,-4.816272208,1.264274099,40.1,74.7
2010/6/30,722.285,10.50138889,72.95416667,65.5,150.7763889,4.777916667,2010,6,30,-4.169788021,2.332671329,26.6,73
2010/7/31,746.8951389,13.78583333,83.8375,164.5,146.2833333,5.154166667,2010,7,31,-4.287198152,2.86100787,92.3,174.7
2010/8/31,748.7548611,11.81194444,87.33888889,92.4,146.9097222,5.382083333,2010,8,31,-4.50917061,2.938401167,76.8,101.2
2010/9/30,700.59,8.065,85.08888889,90.1,150.5791667,4.664722222,2010,9,30,-4.063137514,2.291407198,69.9,82.9
2011/6/30,720.8218056,11.34583333,68.78333333,51.1,172.25,4.707916667,2011,6,30,-4.664914073,0.634866942,35.7,44.5
2011/7/31,745.92,12.82680556,75.26388889,126.9,167.7513889,4.927777778,2011,7,31,-4.815603074,1.045447685,90.7,151.2
2011/8/31,747.4055556,12.06972222,81.1125,131.3,162.2208333,4.843055556,2011,8,31,-4.611753565,1.478822562,141.2,157.2
2011/9/30,700.1027778,5.752222222,83.29305556,115.1,136.7791667,4.190555556,2011,9,30,-3.053740265,2.869743239,96.9,178.9
2012/6/30,720.545,10.96458333,65.55416667,128.5,167.7736111,4.909027778,2012,6,30,-4.797683468,1.03960909,88.1,89.2
2012/7/31,745.38875,13.40458333,82.325,86.4,172.0666667,5.080416667,2012,7,31,-5.031793694,0.70120306,73.1,83.7
2012/8/31,748.0831944,12.47611111,84.59861111,118.8,164.3013889,4.852361111,2012,8,31,-4.67135982,1.312937844,110.8,176.2
2012/9/30,701.2527778,6.41375,76.91666667,87.4,177.6388889,4.695416667,2012,9,30,-4.691430364,0.19343943,65.3,87.1
2013/6/30,720.9913889,11.21138889,75.77916667,112.9,199.025,5.789305556,2013,6,30,-5.473073017,-1.887201783,113.6,83.6
2013/7/31,745.0194444,13.18819444,83.53333333,294.7,176.775,4.651805556,2013,7,31,-4.644438549,0.261697331,285,287.4
2013/8/31,747.445,13.70930556,82.43611111,76.3,187.4416667,5.446944444,2013,8,31,-5.401066124,-0.705470412,63.8,166.9
2013/9/30,701.1197222,7.808194444,73.98194444,144.2,174.3916667,4.702777778,2013,9,30,-4.680266505,0.459591415,128.3,125.8
2014/1/31,743.5998611,-7.352777778,44.60833333,2.9,217.1375,7.018472222,2014,1,31,-5.595048567,-4.237261364,2.2,1
2014/2/28,668.5733333,-8.328055556,76.15833333,24.5,139.2361111,3.5075,2014,2,28,-2.656604101,2.290198878,10.6,22.1
2014/3/31,744.13625,-2.269305556,63.09583333,22.6,165.3777778,6.059027778,2014,3,31,-5.862783941,1.529569245,12.2,17
2014/4/30,721.4808333,2.505833333,76.025,90.5,145.3083333,5.752916667,2014,4,30,-4.730202438,3.274329713,76.4,86.3
2014/5/31,745.44875,7.015694444,54.74722222,27.4,198.4138889,6.122777778,2014,5,31,-5.8092883,-1.934057177,15.8,18
2014/6/30,721.7777778,10.7175,73.66388889,100.6,154.8388889,4.888055556,2014,6,30,-4.424256496,2.078230394,94.4,75.2
2014/7/31,746.5566667,13.0525,85.525,82.5,174.6486111,5.587777778,2014,7,31,-5.563423169,0.521136389,67.3,47.3
2014/8/31,747.9347222,11.36527778,86.26944444,81.2,159.5875,5.01125,2014,8,31,-4.696573169,1.747806347,52.3,80
2014/9/30,724.0756944,8.134027778,84.49444444,220.3,151.1472222,5.519722222,2014,9,30,-4.834517941,2.663600887,161.4,226.9
2014/10/31,749.725,3.7775,79.58611111,54,186.3722222,5.421666667,2014,10,31,-5.388170764,-0.601735206,34.8,36.2
2014/11/30,722.0411111,-4.362361111,76.36527778,23.2,193.5347222,4.570416667,2014,11,30,-4.443488289,-1.069635608,12.7,14.7
2014/12/31,722.4711111,-9.551388889,54.13333333,2.1,229.7125,7.012222222,2014,12,31,-4.534266804,-5.348989161,1.9,1.3
2015/4/30,626.6388889,2.579027778,54.14166667,55.8,143.45,4.892083333,2015,4,30,-3.929993867,2.913353317,73.8,90.9
2015/5/31,745.2834722,7.339305556,66.65,84.5,173.0388889,6.453194444,2015,5,31,-6.405625628,0.782099001,64.2,87.4
2015/6/30,721.2833333,10.49930556,71.58055556,86.9,157.0013889,5.660555556,2015,6,30,-5.210622475,2.211628952,51.1,104.1
2015/7/31,746.7056944,13.09347222,71.76805556,54.1,192.1805556,5.449444444,2015,7,31,-5.326764127,-1.149795063,46.1,44.7
2015/8/31,748.3361111,12.34319444,69.925,67.4,156.8638889,5.087916667,2015,8,31,-4.67871609,1.999127749,79,116.1
2015/9/30,725.0377778,7.304027778,85.73333333,127.2,174.1138889,5.756111111,2015,9,30,-5.725763198,0.590297316,55.3,130.4
2015/10/31,750.4280556,3.709583333,65.86111111,43.4,185.8333333,5.724722222,2015,10,31,-5.69507817,-0.581832591,28.7,36.7
2015/11/30,721.9079167,-1.156805556,77.67638889,31.7,198.0541667,5.797083333,2015,11,30,-5.511657853,-1.796608718,16.1,27.4
2015/12/31,723.2598611,-7.990694444,62.15,13,220.3819444,5.939861111,2015,12,31,-4.524644718,-3.84831654,9.5,10.1
2016/1/31,672.9576389,-10.04625,57.60833333,7.3,174.7861111,5.409722222,2016,1,31,-5.387338952,0.491603025,2.6,4.2
2016/2/29,697.3520833,-8.142916667,51.65,6.5,215.8291667,6.374444444,2016,2,29,-5.168182433,-3.731411571,5.1,3.6
2016/3/31,743.1905556,-2.057361111,66.70833333,31.2,165.1333333,6.081111111,2016,3,31,-5.877549015,1.56023393,8.7,24.6
2016/4/30,720.3495833,3.833888889,62.99722222,50.2,156.0027778,6.036388889,2016,4,30,-5.514634676,2.454953199,41.2,38.6
2016/5/31,745.3490278,6.146388889,70.9125,72.8,177.0277778,6.867777778,2016,5,31,-6.858539178,0.356106646,63.5,62.1
2016/6/30,722.3397222,11.65527778,66.11666667,90.5,191.0902778,5.560833333,2016,6,30,-5.456986539,-1.069656617,101.2,98.1
2016/7/31,746.06625,13.91194444,81.09166667,103.7,179.7541667,5.925555556,2016,7,31,-5.925501013,0.025424117,54.5,101.6
2016/8/31,748.2413889,13.87111111,87.52777778,72.3,153.1861111,5.763333333,2016,8,31,-5.143639541,2.599804489,42.4,76.3
2016/9/30,725.6023611,8.62875,74.78472222,66.3,173.7527778,4.600694444,2016,9,30,-4.57337375,0.500641503,35.4,42
2016/10/31,747.3359722,2.569444444,85.51388889,62.2,163.4097222,6.242361111,2016,10,31,-5.982498095,1.782354841,48.2,59.2
2016/11/30,723.0056944,-2.196111111,57.77916667,5.7,181.6597222,6.530277778,2016,11,30,-6.527538117,-0.189140134,2,2
2016/12/31,721.6170833,-4.996805556,57.99444444,1.4,206.8125,6.420416667,2016,12,31,-5.730141177,-2.896071869,0.7,1.9
2017/1/31,743.8384722,-8.368055556,61.59305556,6.7,199.1458333,5.925555556,2017,1,31,-5.597794438,-1.943426375,2.7,2.6
2017/2/28,672.2175,-5.34625,57.69305556,17.6,182.7916667,5.657083333,2017,2,28,-5.650369686,-0.275525409,11.4,15.2
2017/3/31,743.4618056,-4.906527778,69.66111111,79.6,167.425,5.194027778,2017,3,31,-5.069432671,1.130830206,16.3,57.3
2017/4/30,720.9604167,2.765694444,63.54027778,27.4,182.0888889,6.0725,2017,4,30,-6.068464709,-0.221342095,11.4,11.2
2017/5/31,747.6075,7.477638889,58.55694444,55.5,197.55,6.305416667,2017,5,31,-6.011925829,-1.901322478,72.8,69.4
2017/6/30,721.9572222,10.51833333,68.95416667,117.9,165.2166667,4.875972222,2017,6,30,-4.714566102,1.244175061,149.1,96.6
