,stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,lowCloudiness,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,time,year,month,day,hour
0,52674.0,101.93,38.22,2093.9,12.0,9999.0,251.0,5.4,1033.4,6.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-16.7,30.0,9999.0,-8.7,9999.0,9999.0,1.0,2.0,0.9,38.0,2020-02-02 00:00,2020.0,2.0,2.0,0.0
1,52674.0,101.93,38.22,2093.9,12.0,9999.0,250.0,5.9,1033.8,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-18.1,30.0,9999.0,-9.4,9999.0,9999.0,1.0,2.0,1.3,38.0,2020-02-02 01:00,2020.0,2.0,2.0,1.0
2,52674.0,101.93,38.22,2093.9,12.0,9999.0,258.0,5.0,1033.2,-3.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-18.3,30.0,9999.0,-9.7,9999.0,9999.0,1.0,2.0,2.1,38.0,2020-02-02 02:00,2020.0,2.0,2.0,2.0
3,52674.0,101.93,38.22,2093.9,12.0,9999.0,261.0,4.2,1033.7,-4.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-20.3,30.0,9999.0,-11.3,9999.0,9999.0,1.0,2.0,0.3,41.0,2020-02-02 03:00,2020.0,2.0,2.0,3.0
4,52674.0,101.93,38.22,2093.9,12.0,9999.0,115.0,1.6,1033.9,-1.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-20.3,30.0,9999.0,-11.3,9999.0,9999.0,1.0,2.0,0.8,44.0,2020-02-02 04:00,2020.0,2.0,2.0,4.0
5,52674.0,101.93,38.22,2093.9,12.0,9999.0,177.0,1.2,1035.8,-1.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-21.7,30.0,9999.0,-14.5,9999.0,9999.0,1.0,2.0,-2.1,45.0,2020-02-02 05:00,2020.0,2.0,2.0,5.0
6,52674.0,101.93,38.22,2093.9,12.0,9999.0,182.0,0.9,1035.6,-1.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-20.6,30.0,9999.0,-13.3,9999.0,9999.0,1.0,2.0,-2.0,46.0,2020-02-02 06:00,2020.0,2.0,2.0,6.0
7,52674.0,101.93,38.22,2093.9,12.0,9999.0,215.0,1.2,1036.9,0.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-21.3,30.0,9999.0,-14.3,9999.0,9999.0,1.0,2.0,-5.9,46.0,2020-02-02 07:00,2020.0,2.0,2.0,7.0
8,52674.0,101.93,38.22,2093.9,12.0,9999.0,192.0,0.9,1037.7,5.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-21.2,30.0,9999.0,-14.6,9999.0,9999.0,1.0,2.0,-6.5,44.0,2020-02-02 08:00,2020.0,2.0,2.0,8.0
9,52674.0,101.93,38.22,2093.9,12.0,9999.0,191.0,1.0,1038.3,10.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-19.8,30.0,9999.0,-10.8,9999.0,9999.0,1.0,2.0,-2.5,45.0,2020-02-02 09:00,2020.0,2.0,2.0,9.0
10,52674.0,101.93,38.22,2093.9,12.0,9999.0,22.0,1.5,1036.8,12.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-18.9,30.0,9999.0,-6.7,9999.0,9999.0,1.0,2.0,-1.0,45.0,2020-02-02 10:00,2020.0,2.0,2.0,10.0
11,52674.0,101.93,38.22,2093.9,12.0,9999.0,169.0,0.7,1035.8,3.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-17.8,30.0,9999.0,-4.4,9999.0,9999.0,1.0,2.0,-1.3,39.0,2020-02-02 11:00,2020.0,2.0,2.0,11.0
12,52674.0,101.93,38.22,2093.9,12.0,9999.0,65.0,3.4,1034.2,-7.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-18.0,30.0,9999.0,-3.3,9999.0,9999.0,1.0,2.0,-2.2,35.0,2020-02-02 12:00,2020.0,2.0,2.0,12.0
13,52674.0,101.93,38.22,2093.9,12.0,9999.0,89.0,3.3,1032.9,-19.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-17.9,30.0,9999.0,-2.3,9999.0,9999.0,1.0,2.0,-0.4,29.0,2020-02-02 13:00,2020.0,2.0,2.0,13.0
14,52674.0,101.93,38.22,2093.9,12.0,9999.0,68.0,3.8,1031.4,-23.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-17.9,30.0,9999.0,-1.4,9999.0,9999.0,1.0,2.0,-0.6,26.0,2020-02-02 14:00,2020.0,2.0,2.0,14.0
15,52674.0,101.93,38.22,2093.9,12.0,9999.0,45.0,2.6,1031.6,-22.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-19.1,30.0,9999.0,-1.1,9999.0,9999.0,1.0,2.0,-1.0,23.0,2020-02-02 15:00,2020.0,2.0,2.0,15.0
16,52674.0,101.93,38.22,2093.9,12.0,9999.0,90.0,3.6,1031.4,-13.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-18.8,30.0,9999.0,-0.8,9999.0,9999.0,1.0,2.0,-0.3,19.0,2020-02-02 16:00,2020.0,2.0,2.0,16.0
17,52674.0,101.93,38.22,2093.9,12.0,9999.0,95.0,4.6,1033.2,-5.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-19.8,30.0,9999.0,-1.4,9999.0,9999.0,1.0,2.0,0.0,12.0,2020-02-02 17:00,2020.0,2.0,2.0,17.0
