,year,month,day,hour,rainfall_6h,totalCloud,WD,WV,Transformation_3h,dewPoint,visibility,temperature,temperatureChange_24h,transformer_24h,rainfall_ww,rainfall_yc,WV_x,WV_y,rainfall
2017-12-31,2017.0,12.0,31.0,23.0,0.0,9.0,290.0,1.0,-3.0,-25.2,30.0,-13.4,0.0,0.0,0.0,0.0,0.34202014299999994,-0.939692621,0.0
2018-01-01,2018.0,1.0,1.0,12.5,0.0,4.25,211.25,7.375,0.375,-20.687500000000004,29.875,-12.5625,-2.125,-1.75,0.0,0.0,-3.1677335758750007,0.996517922875,0.0
2018-01-02,2018.0,1.0,2.0,12.5,0.0625,8.0,192.5,5.375,0.0,-18.075,29.875,-14.1,-1.625,1.125,0.0,0.0,-3.9293491682500004,0.716859601875,0.25
2018-01-03,2018.0,1.0,3.0,12.5,0.05,7.75,157.5,9.75,-4.25,-15.174999999999999,29.25,-13.7375,0.5,-1.5,0.30000000000000004,0.05,-8.80235758775,3.7497515046250003,0.2
2018-01-04,2018.0,1.0,4.0,12.5,0.0,5.375,172.5,3.375,-2.0,-14.5625,29.75,-9.775,2.375,-2.25,0.15,0.0,-2.3326139071250003,1.6224387778749998,0.0
2018-01-05,2018.0,1.0,5.0,12.5,0.0,6.0,226.25,6.5,-2.625,-19.462500000000002,22.9,-9.712500000000002,0.5,-1.5,0.1,0.1,-0.7987778854999998,-1.1177905047499999,0.0
2018-01-06,2018.0,1.0,6.0,12.5,0.05,7.875,326.25,6.875,4.125,-20.3125,25.125,-18.275,-6.375,1.25,0.1,0.85,5.56313881975,-3.4788350974999998,0.2
2018-01-07,2018.0,1.0,7.0,12.5,0.11249999999999999,8.0,342.5,7.125,4.75,-23.3375,30.0,-20.312499999999996,-2.0,1.125,0.0,0.05,6.681787106,-1.658534870375001,0.44999999999999996
2018-01-08,2018.0,1.0,8.0,12.5,0.0,4.875,222.5,3.875,1.75,-27.850000000000005,30.0,-17.025000000000002,2.0,3.0,0.0,0.0,3.138846527,-0.34207156362499996,0.0
2018-01-09,2018.0,1.0,9.0,12.5,0.0,4.25,346.25,8.125,4.125,-28.150000000000002,30.0,-14.199999999999998,2.625,1.5,0.0,0.0,7.596784811125,-0.9087016928750016,0.0
2018-01-10,2018.0,1.0,10.0,12.5,0.0,4.25,260.0,5.625,0.0,-26.675,30.0,-12.662500000000001,1.5,1.125,0.0,0.0,5.19205326325,-0.7452622402500009,0.0
2018-01-11,2018.0,1.0,11.0,12.5,0.0,6.0,237.5,4.75,-1.125,-25.625,29.875,-10.7,1.25,0.125,0.0,0.0,3.843511619625,0.3950858304999995,0.0
2018-01-12,2018.0,1.0,12.0,12.5,0.0,7.0,203.75,2.875,-4.625,-25.9,29.625,-8.4125,1.5,-3.125,0.0,0.0,0.4609148439999999,-0.019267815624999962,0.0
2018-01-13,2018.0,1.0,13.0,12.5,0.0,4.5,207.5,5.5,-0.625,-24.924999999999997,29.875,-8.575,-0.25,-1.0,0.0,0.0,1.999149108375,0.1164445435,0.0
2018-01-14,2018.0,1.0,14.0,12.5,0.0,5.25,178.75,5.625,-4.0,-21.299999999999997,29.0,-7.137499999999999,1.25,-1.375,0.0,0.0,-4.029225502749999,0.79870789375,0.0
