stationID,lon,lat,altitude,siteLevel,totalCloud,WD,WV,airPressure,Transformation_3h,pastWeather1,pastWeather2,rainfall_6h,lowCloudiness,lowCloudCover,lowCloudHigh,dewPoint,visibility,currentWeather,temperature,lowCloudiness,highCloudiness,flag1,flag2,temperatureChange_24h,transformer_24h,year,month,day,hour
52674,101.93,38.22,2094,16,1,110,8,9999,-15,0,0,0,9999,1,600,11.6,24,0,30.1,9999,9999,1,2,6,-2,2018,7,30,17
52674,101.93,38.22,2094,16,3,110,6,9999,2,0,0,0,9999,3,600,11.7,24,0,27.3,9999,9999,1,2,5,-2,2018,7,30,20
52674,101.93,38.22,2094,16,9,110,4,9999,11,0,0,0,9999,9999,9999,12.1,23,0,23.4,9999,9999,1,2,9999,9999,2018,7,30,23
52674,101.93,38.22,2094,16,9,110,1,9999,12,0,0,0,9999,9999,9999,12.6,15,0,21.5,9999,9999,1,2,9999,9999,2018,7,31,23
52674,101.93,38.22,2094,16,9,250,4,9999,-3,0,0,0,9999,9999,9999,11.1,20,0,19,9999,9999,1,2,-2,-2,2018,8,1,2
52674,101.93,38.22,2094,16,9,270,5,9999,-6,0,0,0,9999,9999,9999,10.7,26,0,16.9,9999,9999,1,2,0,-2,2018,8,1,5
52674,101.93,38.22,2094,16,0,290,7,9999,8,0,0,0,9999,0,9999,11.1,23,0,17.8,9999,9999,1,2,-2,-1,2018,8,1,8
52674,101.93,38.22,2094,16,0,320,3,9999,0,0,0,0,9999,0,600,12.1,22,0,22.8,9999,9999,1,2,9999,9999,2018,8,1,11
52674,101.93,38.22,2094,16,2,90,5,9999,-11,0,0,0,9999,2,600,12.1,18,0,26,9999,9999,1,2,-3,0,2018,8,1,14
52674,101.93,38.22,2094,16,7,70,4,9999,-7,0,0,0,9999,7,600,11.7,21,0,26,9999,9999,1,2,-4,0,2018,8,1,17
52674,101.93,38.22,2094,16,7,290,6,9999,8,0,0,0,9999,7,1500,13.3,28,0,21.7,9999,9999,1,2,-4,0,2018,8,1,20
52674,101.93,38.22,2094,16,9,290,6,9999,4,0,0,9999,9999,9999,9999,15.3,29,0,17.9,9999,9999,1,2,9999,9999,2018,8,1,23
52674,101.93,38.22,2094,16,9,290,6,9999,2,0,0,36,9999,9999,9999,16.1,2.8,0,16.3,9999,9999,1,2,-3,0,2018,8,2,2
52674,101.93,38.22,2094,16,9,290,5,9999,-3,0,0,9999,9999,9999,9999,15.1,13,0,16.2,9999,9999,1,2,-1,0,2018,8,2,5
52674,101.93,38.22,2094,16,8,290,7,9999,8,0,0,1,9999,8,1500,14.3,30,0,16.7,9999,9999,1,2,-1,0,2018,8,2,8
52674,101.93,38.22,2094,16,8,320,3,9999,13,0,0,9999,9999,8,1500,14.6,9999,60,15.2,9999,9999,1,2,9999,9999,2018,8,2,11
52674,101.93,38.22,2094,16,8,320,4,9999,2,6,0,5,9999,8,1500,14.5,8,60,15.3,9999,9999,1,2,-11,3,2018,8,2,14
52674,101.93,38.22,2094,16,8,290,6,9999,0,6,6,9999,9999,8,1500,15,9999,60,15.2,9999,9999,1,2,-11,3,2018,8,2,17
52674,101.93,38.22,2094,16,7,290,8,9999,7,6,0,2,9999,7,1500,13.1,29,0,16.4,9999,9999,1,2,-5,3,2018,8,2,20
52674,101.93,38.22,2094,16,9,290,5,9999,8,0,0,0,9999,9999,9999,13.1,30,0,16.8,9999,9999,1,2,9999,9999,2018,8,2,23
52674,101.93,38.22,2094,16,9,290,3,9999,-1,0,0,0,9999,9999,9999,13.4,30,0,16.5,9999,9999,1,2,0,3,2018,8,3,2
52674,101.93,38.22,2094,16,9,250,2,9999,1,0,0,0,9999,9999,9999,13.6,30,0,16.7,9999,9999,1,2,1,4,2018,8,3,5
52674,101.93,38.22,2094,16,7,360,1,9999,9,9999,9999,0.4,9999,7,1500,15,24,60,17,9999,9999,1,2,0,4,2018,8,3,8
52674,101.93,38.22,2094,16,7,290,4,9999,5,6,0,9999,9999,7,1500,13.6,23,0,19.9,9999,9999,1,2,9999,9999,2018,8,3,11
