,RG001,RG002,RG003,RG004,RG005,RG006,RG007,RG008,,average
2020/7/1,5.259820813,4.088642659,4.217983651,4.288088643,3.969676085,4.372670807,4.366643694,4.088642659,,
2020/7/2,0,0,0,0,0,0,0,0,,
2020/7/3,,,8.332198775,,,,,,,
2020/7/4,,,0,,,,,,,
2020/7/5,,,1.736932797,,,,,,,
2020/7/6,,,0,,,,,,,
2020/7/7,,,0,,,,,,,
2020/7/8,0,,0,,0,0,0,,,
2020/7/9,2.438012015,,2.580067189,,2.046617396,2.613726602,2.276679842,,,
2020/7/10,0.12642669,0,0.104272266,0,0.127208481,0.128571429,0,0,,
2020/7/11,3.619389587,4.2,3.263825929,2.603616134,2.573617021,3.376884422,3.310344828,5,,
2020/7/12,0,0,0,0,0,0,0,0,,
2020/7/13,4.071724138,5.352033661,4.023952096,4.235294118,2.68137931,4.077348066,3.374224673,4.87966805,,
2020/7/14,0,0,0,0,0,0,0,0,,
2020/7/15,0,0,0,0,0,0,0,0,,
2020/7/16,1.786354238,2.68879668,2.023419204,1.79253112,1.092413793,1.888198758,1.488628532,2.885970974,,
2020/7/17,6.852413793,7.180055402,5.317191283,6.095766829,2.977257064,6.062111801,4.372670807,7.972318339,,
2020/7/18,7.422680412,10.05809129,8.250499667,7.384615385,3.475862069,7.850931677,5.064827586,11.44436766,,
2020/7/19,0,0,0,0,0,0,0,0,,
2020/7/20,0,0,0,0,0,0,0,0,,
2020/7/21,0,0,0,0,0,0,0,0,,
2020/7/22,1.290144728,0.201822004,0.89010989,1.109243697,2.082644628,0.99378882,1.885596141,0.099447514,,
2020/7/23,11.21433494,13.3907009,11.44809461,10.80750521,9.447513812,10.84727021,9.037241379,13.18169209,,
2020/7/24,0.596685083,2.310722101,0.472440945,0.313497823,0.099241902,0.49689441,0.19862069,3.119133574,,
2020/7/25,0,0,0.186528497,0,0,0,0.19862069,0,,
2020/7/26,0,0,0,0,0,0,0,0,,
2020/7/27,0.198347107,0.398891967,0,0.499306519,0,0.397790055,0,0.498269896,,
2020/7/28,0,0,0,0,0,0,0,0,,
2020/7/29,0,0,0,0,0,0,0,0,,
2020/7/30,0,0,0,0,0,0,0,0,,
2020/7/31,0,0,0,0,0,0,0,0,,
2020/8/1,0,0,0.188605108,0,0,0,0.297931034,0,,
2020/8/2,0,0,0,0,0,0,0,0,,
2020/8/3,3.07862069,2.694386694,3.526141628,2.895977809,3.473466575,2.769230769,3.07862069,2.794178794,,
2020/8/4,8.143448276,6.880886427,3.680209699,6.790568655,3.873103448,8.254143646,3.277241379,6.975778547,,
2020/8/5,16.37491385,10.45080251,10.8,12.37735849,7.646896552,16.4514797,8.634045486,9.626740947,,
2020/8/6,0.099173554,0.199307958,0,0.099722992,0.19862069,0,0.099310345,0.099585062,,
2020/8/7,1.488628532,2.605427975,1.860465116,1.606694561,0.297931034,2.187845304,0.297931034,3.106471816,,
2020/8/8,0,0,0,0,0,0,0,0.198074278,,
2020/8/9,0.696132597,0.997229917,0.922485586,1.000694927,0.297931034,1.094678645,0.297931034,1.29550173,,
2020/8/10,0,0,0,0,0,0,0,0,,
2020/8/11,0,0.199307958,0.091778203,0,0,0,0,0.299168975,,
2020/8/12,4.670807453,5.488565489,4.561085973,4.6,5.160578911,4.481327801,5.160578911,5.092926491,,
2020/8/13,0,0.497925311,0.094302554,0,0.695172414,0,0.794482759,0.597097443,,
2020/8/14,16.18758621,15.888966,15.35025381,15.41070188,16.08827586,15.50310559,16.08827586,16.0776699,,
2020/8/15,0,0,0,0,0,0,0,0,,
2020/8/16,0.098697738,0.597097443,0.287234043,0.298961938,0.595862069,0,0.496551724,0.89626556,,
2020/8/17,3.475862069,4.577747063,3.834886818,3.089273356,1.886896552,3.677018634,2.67768595,5.867403315,,
2020/8/18,0,0,0,0,0,0,0,0,,
2020/8/19,0,0.298342541,0.586160109,0.099585062,0.595862069,0.099378882,0.397241379,0.397790055,,
2020/8/20,0,0,0,0,0,0,0,0,,
2020/8/21,10.6262069,10.47817048,8.952879581,9.093684941,8.44137931,10.23602484,8.645962733,10.67036011,,
2020/8/22,5.859310345,8.494964029,4.858299595,5.294881038,5.256198347,4.87966805,5.164137931,9.142857143,,
2020/8/23,3.475862069,6.187110187,3.410526316,2.401667825,2.679531358,3.875776398,2.776859504,7.185031185,,
2020/8/24,0,0,0,0,0,0,0,0,,
2020/8/25,0,0,0,0,0,0,0,0,,
2020/8/26,0,0,0,0,0,0,0,0,,
2020/8/27,0,0,0,0,0,0,0,0,,
2020/8/28,0,0,0,0,0,0,0,0,,
2020/8/29,26.8137931,33.26141079,28.9168357,24.04989605,28.50206897,25.9378882,30.86423156,33.28442907,,
2020/8/30,1.688275862,3.585062241,1.462423832,1.297297297,1.390344828,1.591160221,1.191724138,4.381742739,,
2020/8/31,1.290144728,2.583850932,4.787234043,3.580110497,1.886896552,1.788819876,2.184827586,3.07862069,,
2020/9/1,0.695172414,0.398340249,0.869215292,0.698060942,0.19862069,0.79558011,0.496209511,0.497925311,,
2020/9/2,0,0,0,0,0,0,0,0,,
2020/9/3,0,0,0,0,0,0,0,0,,
2020/9/4,0,0,0,0,0,0,0,0,,
2020/9/5,2.184827586,3.082872928,1.986206897,1.893425606,1.390344828,2.08839779,1.291034483,3.378881988,,
2020/9/6,0,0.497925311,0.096839274,0.099653979,0,0.099310345,0,0.298342541,,
2020/9/7,0,0,0,0,0,0,0,0,,
2020/9/8,7.746206897,7.878116343,7.652173913,7.889042996,7.646896552,8.248447205,7.547586207,7.67867036,,
2020/9/9,3.776397516,4.574585635,5.160578911,3.789473684,4.866206897,3.977900552,4.565127498,4.972375691,,
2020/9/10,0,0,0,0,0,0,0,0,,
2020/9/11,0.099241902,0,0,0,0,0.099447514,0,0,,
2020/9/12,0,0,0,0,0,0,0,0,,
2020/9/13,8.407331976,12.45167854,8.504697987,10.4114053,8.872037915,7.527494908,8.798370672,12,,
2020/9/14,8.83862069,13.4532872,9.725706409,8.382536383,4.667586207,9.447513812,6.455172414,13.04564315,,
2020/9/15,0,0.099585062,0,0,0,0,0,0,,
2020/9/16,0,0,0,0,0,0,0,0,,
2020/9/17,0.297931034,0.09951624,0.098765432,0.099585062,0,0.19862069,0.099241902,0.298136646,,
2020/9/18,0,0,0,0,0,0,0,0,,
2020/9/19,0,0,0,0,0,0,0,0,,
2020/9/20,0,0,0,0,0,0,0,0,,
2020/9/21,7.145416954,14.9068323,9.434482759,7.264685556,5.95862069,7.850931677,5.847212663,15.49241379,,
2020/9/22,0.893793103,1.593360996,0.745631068,0.59833795,0.595041322,1.093922652,0.496209511,1.788819876,,
2020/9/23,0,0,0,0,0,0,0,0,,
2020/9/24,0,0,0,0,0,0,0,0,,
2020/9/25,1.290144728,3.88650519,1.656292287,1.896049896,1.290144728,1.689440994,1.786354238,3.182320442,,
2020/9/26,0,0,0,0,0,0,0,0,,
2020/9/27,0.693259972,1.690607735,0.971659919,0.995850622,0.893793103,0.397515528,0.993103448,1.392265193,,
2020/9/28,8.64,12.15859031,15.67864693,9.960264901,11.02344828,10.44198895,9.910529938,12.14966985,,
2020/9/29,0,0,0,0,0,0,0,0,,
2020/9/30,5.756030324,9.766089965,3.472494348,5.092926491,5.064827586,5.867403315,4.068917988,10.94678645,,6.254434559
2020/10/1,0,0,0,0,0,0,0,0,,0
2020/10/2,0,0,0,0,0,0,0,0,,0
2020/10/3,0,0,0,0,0,0,0,0,,0
2020/10/4,0,0,0,0,0,0,0,0,,0
2020/10/5,0,0,0,0,0,0,0,0,,0
2020/10/6,0,0,0,0,0,0,0,0,,0
2020/10/7,0,0,0,0,0,0,0,0,,0
2020/10/8,0,0,0,0,0,0,0,0,,0
2020/10/9,0,0,0,0,0,0,0,0,,0
2020/10/10,0,0,0,0,0,0,0,0,,0
2020/10/11,0,0,0,0,0,0,0,0,,0
2020/10/12,0,0,0,0,0,0,0,0,,0
2020/10/13,0,0,0,0,0.198483804,0,0,0,,0.024810476
2020/10/14,0.397241379,0.90376569,0.682464455,0,0.596273292,0.198895028,0.893793103,1.10076442,,0.596649671
2020/10/15,0,0,0,0,0,0,0,0,,0
2020/10/16,0,0,0,0,0,0,0,0,,0
2020/10/17,0,0,0,0,0,0,0,0,,0
2020/10/18,0.496551724,0.298548721,0,0,0,0.099378882,0,0.199170124,,0.136706182
2020/10/19,0.099310345,0,0,0,0,0,0,0,,0.012413793
2020/10/20,0,0,0,0,0,0,0,0,,0
2020/10/21,0,0,0,0,0,0,0,0,,0
2020/10/22,0,0,0,0,0,0,0,0,,0
2020/10/23,0,0,0,0,0,0,0,0,,0
2020/10/24,0,0,0,0,0,0,0,0,,0
2020/10/25,0,0,0,0,0,0,0,0,,0
2020/10/26,0,0,0,0,0,0,0,0,,0
2020/10/27,0.496209511,0.09951624,1.276944065,0.099653979,1.488628532,0.198895028,1.390344828,0.298755187,,0.668618421
2020/10/28,1.885596141,3.080745342,2.744724302,1.994459834,3.080745342,0.894409938,3.076498966,2.583850932,,2.417628849
2020/10/29,0,0,0,0,0,0,0,0,,0
2020/10/30,0,0,0,0,0,0,0,0,,0
2020/10/31,0,0,0,0,0,0,0,0,,0
2020/11/1,0,0,0,0,0,0,0,0,,0
2020/11/2,0,0,0,0,0,0,0,0,,0
2020/11/3,0,0,0,0,0,0,0,0,,0
2020/11/4,0,0,0,0,0,0,0,0,,0
2020/11/5,0,0,0,0,0,0,0,0,,0
2020/11/6,0.099310345,0,0,0,0,0,0,0.199307958,,0.037327288
2020/11/7,0,0,0,0,0,0,0,0,,0
2020/11/8,0,0,0,0,0,0,0,0,,0
2020/11/9,0,0,0,0,0,0,0,0,,0
2020/11/10,0,0,0,0,0,0,0,0,,0
2020/11/11,0,0,0,0,0,0,0,0,,0
2020/11/12,0,0,,0,0,0,0,0,,0
