time,RPH,RPH_ld,RPH_jy,,,time,RPH,RPH_ld,RPH_jy,,,time,RPH,RPH_ld,RPH_jy,,time,RPH,RPH_ld,RPH_jy,,,,,,,,,,,,,,,
2020/8/1,2.8,5.3,2.2,,,2019/8/1,0,0,42.8,,,2018/8/1,1,0.1,1.7,,2014/8/1,0,0,0,,2015/8/1,0,0,0,,2016/8/1,0,0,0.1,,2017/8/1,0.5,1.6,2
2020/8/2,1.7,0,0,,,2019/8/2,74.2,45,95.8,,,2018/8/2,0.1,0,0.1,,2014/8/2,0,0,0,,2015/8/2,15.4,21.1,13,,2016/8/2,0,0,0.4,,2017/8/2,0.1,0,0
2020/8/3,1.8,0,8.2,,,2019/8/3,2.3,0.2,0,,,2018/8/3,0.1,0,0,,2014/8/3,6.5,0.5,14.5,,2015/8/3,18.6,19.1,28.2,,2016/8/3,0.2,0,11.5,,2017/8/3,0,3.1,0
2020/8/4,5.6,2.3,3.1,,,2019/8/4,0,0,0,,,2018/8/4,0,0,0,,2014/8/4,0,0,0.4,,2015/8/4,0.1,0,0,,2016/8/4,0,0,0,,2017/8/4,0,0,0
2020/8/5,19.5,2.2,13.8,,,2019/8/5,0,0,0,,,2018/8/5,0,0.2,0,,2014/8/5,2.7,3.2,8,,2015/8/5,0,0,0,,2016/8/5,0.1,0,0,,2017/8/5,0,2.1,3.7
2020/8/6,25.3,11.1,28.6,,,2019/8/6,0,0,0,,,2018/8/6,8.4,21.6,1.7,,2014/8/6,5.1,4.2,2.9,,2015/8/6,0,0,0.6,,2016/8/6,12.2,9.1,8.6,,2017/8/6,31.2,13.9,45.7
2020/8/7,0,0,0,,,2019/8/7,0,0,0,,,2018/8/7,5.6,0.5,48.4,,2014/8/7,0.4,0.1,1.5,,2015/8/7,1.3,0,23.5,,2016/8/7,0,0,0,,2017/8/7,9.5,11.2,9.3
2020/8/8,2.5,1.2,1.4,,,2019/8/8,0,0,2.9,,,2018/8/8,2.9,11.7,0.4,,2014/8/8,7.2,6.3,7.9,,2015/8/8,4.8,1.6,6.4,,2016/8/8,0,0,0,,2017/8/8,1.6,2.9,1.8
2020/8/9,0,0,0,,,2019/8/9,0,0,6.9,,,2018/8/9,9.5,0,0.2,,2014/8/9,0,0,0,,2015/8/9,3,0.5,5.6,,2016/8/9,0,0,0,,2017/8/9,0.3,0,5.2
2020/8/10,7.9,16.8,1.4,,,2019/8/10,0,0,0,,,2018/8/10,0,0,1.5,,2014/8/10,0,0,0,,2015/8/10,0,0,0,,2016/8/10,0,0,5.9,,2017/8/10,0,0,0
2020/8/11,11.2,6.5,10.5,,,2019/8/11,0,0,0,,,2018/8/11,5.2,1.3,39.8,,2014/8/11,9.2,3.9,2.7,,2015/8/11,17.5,26.3,30.8,,2016/8/11,0,0,0.6,,2017/8/11,0.1,4,0
2020/8/12,23.5,21.6,31.4,,,2019/8/12,0,0,0,,,2018/8/12,3.4,5,2.7,,2014/8/12,0.4,4.7,1.3,,2015/8/12,1.7,7.4,0,,2016/8/12,0,0,0,,2017/8/12,18.8,11.5,3.9
2020/8/13,0,0,0,,,2019/8/13,0,0,0,,,2018/8/13,26,0,24.4,,2014/8/13,0,0,0,,2015/8/13,0.9,0.3,0.6,,2016/8/13,0,0,0.6,,2017/8/13,0.8,0.1,6
2020/8/14,43.6,23.8,35,,,2019/8/14,0,0,0,,,2018/8/14,20,0,0.9,,2014/8/14,0,0,0,,2015/8/14,0,0,0,,2016/8/14,0,0,0,,2017/8/14,0,0,0
2020/8/15,10.4,10.9,10.3,,,2019/8/15,0,0,0,,,2018/8/15,0.4,0,3.1,,2014/8/15,0,0,0,,2015/8/15,0,0,0,,2016/8/15,0,0,0,,2017/8/15,0,0,3
2020/8/16,47.3,43.4,37.5,,,2019/8/16,0,0,0,,,2018/8/16,0,0,0,,2014/8/16,8.2,3.9,20,,2015/8/16,0,0,0,,2016/8/16,0,0,0,,2017/8/16,0,0,0
2020/8/17,20.6,27.8,12.5,,,2019/8/17,0,0,0,,,2018/8/17,0,0,0,,2014/8/17,0.1,0,0,,2015/8/17,0,0,0,,2016/8/17,0.9,0,0,,2017/8/17,0.3,0,0.2
2020/8/18,0.1,0.1,0,,,2019/8/18,0,0,0,,,2018/8/18,0,0.2,0,,2014/8/18,0,0,0,,2015/8/18,0,0,0,,2016/8/18,0.6,0,0,,2017/8/18,3.6,0.1,0.3
2020/8/19,0,0,0,,,2019/8/19,21.8,24,19.1,,,2018/8/19,0,0,32,,2014/8/19,0,0,0,,2015/8/19,0,0,0,,2016/8/19,0,0,0,,2017/8/19,9.7,6.8,0.1
2020/8/20,0,0,0.1,,,2019/8/20,26,24.3,20.2,,,2018/8/20,1.4,1.2,21.1,,2014/8/20,3.8,1.8,0.1,,2015/8/20,0,0,0,,2016/8/20,0,0,0,,2017/8/20,10.5,7.8,9.5
2020/8/21,3.1,1.1,2.5,,,2019/8/21,19.8,10.6,14.9,,,2018/8/21,37.7,39.6,41.4,,2014/8/21,34.4,19.1,12.3,,2015/8/21,0,0,0,,2016/8/21,0,0,0,,2017/8/21,33.2,27.3,34.6
2020/8/22,7.3,3.6,9.1,,,2019/8/22,6.4,7.2,8.7,,,2018/8/22,0,0,0,,2014/8/22,0,0,0,,2015/8/22,0,0,0,,2016/8/22,0,0,0,,2017/8/22,16.5,14.2,10.6
2020/8/23,33.3,20.6,32.9,,,2019/8/23,1.2,1.4,1.5,,,2018/8/23,0,0,0,,2014/8/23,0,0,0.4,,2015/8/23,3.2,1.2,7.4,,2016/8/23,7.1,1.9,9.9,,2017/8/23,0,0,0
2020/8/24,0,0,0,,,2019/8/24,3.2,1.1,2.4,,,2018/8/24,0,0,0,,2014/8/24,0,0,0,,2015/8/24,0,0,0,,2016/8/24,39,24.7,35.9,,2017/8/24,5.5,2.4,2.7
2020/8/25,3.6,0,12.8,,,2019/8/25,11.7,6.2,9.6,,,2018/8/25,15.7,2.2,13.1,,2014/8/25,0,0,0.6,,2015/8/25,0,0,0,,2016/8/25,1.5,0,0,,2017/8/25,10.8,2.6,12.7
2020/8/26,0,0.1,0,,,2019/8/26,41,20.2,32.9,,,2018/8/26,0.2,0,0.3,,2014/8/26,0,0,0,,2015/8/26,0.3,0,0,,2016/8/26,0,0,0,,2017/8/26,15.2,13.1,14.1
2020/8/27,0,0,9.4,,,2019/8/27,0,0.1,0,,,2018/8/27,0,0,0,,2014/8/27,0,0,0,,2015/8/27,0,1.4,0,,2016/8/27,0,0,0,,2017/8/27,17.8,14.4,6.7
2020/8/28,0,0,0,,,2019/8/28,5.9,0,19.5,,,2018/8/28,0.4,0,0,,2014/8/28,0,0,0,,2015/8/28,0,0,0,,2016/8/28,0,0,0,,2017/8/28,28.9,14.6,39.6
2020/8/29,16.4,19.6,8.8,,,2019/8/29,0,0,0,,,2018/8/29,0,0,0.2,,2014/8/29,2.6,3.9,5,,2015/8/29,0,0,0,,2016/8/29,10.6,6.7,2.8,,2017/8/29,15.9,13.4,21.6
2020/8/30,16.3,11.3,10.8,,,2019/8/30,26.3,20.5,15.8,,,2018/8/30,0.3,0,2.6,,2014/8/30,0.6,0.7,2.4,,2015/8/30,0.6,0.1,0,,2016/8/30,0.1,0,0,,2017/8/30,0,0,0.3
2020/8/31,0,0,0,,,2019/8/31,3.9,2.1,3,,,2018/8/31,0,0,0,,2014/8/31,0,0,0,,2015/8/31,0,0,0,,2016/8/31,0,0,0,,2017/8/31,0,0,0
2020/9/1,1.4,0.8,0.5,,,2019/9/1,0.8,0,0,,,2018/9/1,27.8,27.5,19,,2014/9/1,0,0,0,,2015/9/1,0,0,0,,2016/9/1,0,0,0,,2017/9/1,0,0,0
2020/9/2,0,0,0,,,2019/9/2,0,0,0,,,2018/9/2,2.9,1.2,2.2,,2014/9/2,0,0,0,,2015/9/2,10.5,1,12,,2016/9/2,0.2,0,0.3,,2017/9/2,0,0,0
2020/9/3,1.4,0,0,,,2019/9/3,0.9,0,1,,,2018/9/3,0,0,0,,2014/9/3,0,0,0,,2015/9/3,30.2,14.1,40.6,,2016/9/3,0.1,0,0,,2017/9/3,0,0.1,0
2020/9/4,0,0,0,,,2019/9/4,0.3,0,2.1,,,2018/9/4,12.1,4.7,5.8,,2014/9/4,0,0,0,,2015/9/4,0,0,0,,2016/9/4,0,0,0,,2017/9/4,1.4,0.2,0.1
2020/9/5,1,0.8,0.5,,,2019/9/5,0,0,0,,,2018/9/5,0,0,0.1,,2014/9/5,0,0,0,,2015/9/5,0,0,0,,2016/9/5,12.4,7.8,4.1,,2017/9/5,2.5,2.5,1.5
2020/9/6,0,0,0,,,2019/9/6,0.1,0,0,,,2018/9/6,0,0,0,,2014/9/6,4.1,2.5,6,,2015/9/6,0,0,0,,2016/9/6,0.1,0,0,,2017/9/6,0,0,0
2020/9/7,0,0,0,,,2019/9/7,0,0,24.3,,,2018/9/7,0,0,0,,2014/9/7,0.2,0.1,1.9,,2015/9/7,5.7,0.5,12.3,,2016/9/7,0.8,0,0,,2017/9/7,4.3,4,2.2
2020/9/8,4.8,1.8,2.1,,,2019/9/8,11.1,18.2,11,,,2018/9/8,0,0,0,,2014/9/8,21.9,15.3,31,,2015/9/8,9.1,3.7,6.2,,2016/9/8,2.5,1.1,2.1,,2017/9/8,1.7,0.2,1
2020/9/9,15.2,6.8,11.7,,,2019/9/9,42.5,48.7,34.4,,,2018/9/9,4.6,2,2.9,,2014/9/9,0,0,0,,2015/9/9,3.2,0.3,1.2,,2016/9/9,6.1,4.6,1.7,,2017/9/9,21.2,9.7,16.6
2020/9/10,0,0,0,,,2019/9/10,5.3,1.3,9.3,,,2018/9/10,0.2,0,0,,2014/9/10,24.3,6.7,24.5,,2015/9/10,10.8,8.3,5.1,,2016/9/10,1,0,0,,2017/9/10,0,0,0
2020/9/11,0,0,0,,,2019/9/11,4.2,1,5.1,,,2018/9/11,0,0,0,,2014/9/11,22.2,21.9,14.8,,2015/9/11,0,0,0,,2016/9/11,5,2.8,2.2,,2017/9/11,0,0,0
