Date,R0002,R0003,R0004,R0005,R0006,R0007,R0008,WV5,WD5,WD5(бу),WV5_x,WV5_y,WV6,WD6,WD6(бу),WV6_x,WV6_y,WV7,WD7,WD7(бу),WV7_x,WV7_y
2020/7/1,0.384256171,1.410776767,0.853333333,0.798152425,2.125087843,,0.411722659,,,,-1.377553637,0.878902745,,,,-0.560431157,-1.116236503,,,,-4.065124078,-2.446866404
2020/7/2,0,0,0,0,0,,0,,,,-1.816163121,0.967198552,,,,-1.13390307,-0.774113377,,,,-4.297192632,1.508814949
2020/7/3,0,1.253536453,0,0,0,,1.627501766,,,,-1.612869716,1.492227177,,,,-0.79152542,-0.41532448,,,,-6.022529302,0.190946488
2020/7/4,0,0,0,0,0,,0,,,,-1.9482766,0.024954948,,,,-1.059758808,-0.411840162,,,,-4.676758703,1.171832785
2020/7/5,0,18.50107066,0.501975366,4.228439306,2.29734104,,9.786735411,,,,-1.386239687,1.330183239,,,,-0.900663293,-0.480884053,,,,-3.25545199,-2.060312362
2020/7/6,0,0,0,0,0,,0,,,,-1.178174717,2.274886338,,,,-1.395858842,-0.884107371,,,,-5.608815736,4.758609247
2020/7/7,0,0,0,0,0,,0,,,,-1.25561585,2.867263207,,,,-1.478266334,-0.85567659,,,,-6.264438435,5.094124054
2020/7/8,0,0,0,0,0,,0,,,,-2.200808671,1.376776297,,,,-1.172039286,-0.566428121,,,,-3.552801205,-6.044518504
2020/7/9,0.886305351,0.3,0.907986922,2.593396444,0.210577626,,0.708030906,,,,-1.261749223,1.233291547,,,,-1.248915423,-0.858311097,,,,-5.104302252,1.38322177
2020/7/10,10.23978014,12.35146444,11.54540737,11.18963922,14.81618497,,12.54094878,,,,-1.294739511,0.785500793,,,,-0.68879821,-0.058221837,,,,-2.317568643,5.198201873
2020/7/11,24.32977099,23.97822142,12.7403518,11.18446602,18.01248555,,35.39268978,,,,-0.960579752,0.537985001,,,,-0.589800007,0.190464595,,,,0.244617051,8.638788954
2020/7/12,1.017188604,0.594222834,0,0.299583911,0.699190751,,1.206423086,,,,-1.341251496,0.349745166,,,,-0.772111111,0.41029859,,,,-2.476288099,-0.177294101
2020/7/13,0,0,0,0,0,,0,,,,-1.580513607,1.566695469,,,,-0.758758311,0.176792741,,,,-2.849360401,2.695383759
2020/8/4,0.527794746,1.946363441,0,0,2.149253731,0,2.335135135,3.498991769,7,168.75,2.185945152,-2.732139673,0.984320683,7,168.75,0.614940293,-0.768593288,10.16016805,10,236.25,-8.206395961,-5.990332222
2020/8/5,24.85801839,8.894989705,0,6.545454545,10.875,0,4.857142857,2.846693066,8,191.25,-2.636003999,1.07477641,0.828958333,6,146.25,-0.136928231,0.817571145,8.170234812,10,236.25,-6.599121357,-4.817087731
2020/8/6,27.28105482,12,0,24.52012384,27.82448037,0,10.49271339,0.869020481,5,123.75,-0.292189818,-0.81842636,0.213163582,7,168.75,0.133170904,-0.166445856,8.787151238,2,56.25,8.398138286,-2.585594751
2020/8/7,0,0,0,0,0,0,0,1.42843586,3,78.75,-1.396999718,-0.298028175,1.366419203,11,258.75,0.571351005,1.241233043,6.704459582,2,56.25,6.407648756,-1.972768538
2020/8/8,2.1,1.296518607,0,0,1.298196949,0,0.300208478,1.472648336,3,78.75,-1.440239193,-0.307252645,1.154048416,12,281.25,0.089300352,-1.150588195,7.170047738,2,56.25,6.852625019,-2.109766555
2020/8/9,0,0,0,0,0,0,0,1.971701925,3,78.75,-1.928309917,-0.411374947,1.495578306,12,281.25,0.11572796,-1.491094064,6.755720576,11,258.75,2.824819596,6.136787005
2020/8/10,6.5,3.521956643,0,10.9,18.11257818,0,1.401947149,2.067983077,4,101.25,1.556036555,1.362095534,1.518546778,7,168.75,0.948690419,-1.185736398,9.53908559,10,236.25,-7.704745933,-5.624148291
2020/8/11,2.598195697,2.530909091,0,3.794729542,1.399028452,0,4.2,1.969346198,5,123.75,-0.662151145,-1.854691432,1.710139482,6,146.25,-0.282482682,1.686647735,9.622871335,9,213.75,9.55169812,1.168210492
2020/8/12,28.1,27.97188498,0,32.95423024,35.12439194,0,23.61640028,2.210307754,10,236.25,-1.785271714,-1.303175075,1.947510765,11,258.75,0.814327134,1.769087194,7.783829937,9,213.75,7.726258742,0.94495203
2020/8/13,0.099930604,0,0,0.099861304,0,0,0,1.59708336,4,101.25,1.201712005,1.051933228,2.23958991,11,258.75,0.936456355,2.034407152,4.746415383,3,78.75,-4.64195918,-0.990289835
2020/8/14,30.2,33.51129363,0,18.98681471,22.2,0,15.5,2.222387374,3,78.75,-2.173478434,-0.463677839,1.095607769,12,281.25,0.08477821,-1.092322772,10.74809749,3,78.75,-10.51155994,-2.24247792
2020/8/15,3.697432339,4.020779221,0,4.2,3.402362752,0,1.698820264,1.048424302,10,236.25,-0.846815222,-0.618140354,0.349538879,10,236.25,-0.282323524,-0.206084584,5.993997662,11,258.75,2.50631474,5.444850264
2020/8/16,31.9,30.67741935,0,34.3,32,0,18.71299514,1.129383822,4,101.25,0.849795403,0.743878747,1.206800066,11,258.75,0.50460827,1.096237608,7.797182876,2,56.25,7.451996473,-2.29429932
2020/8/17,40.1,41.99188092,0,52.93676164,43.2,0,40.8,2.151038686,12,281.25,0.166447532,-2.144589156,1.49398099,11,258.75,0.624689362,1.357108102,8.039533475,2,56.25,7.683618052,-2.365610308
2020/8/18,0,0,0,0,0,0,0,1.569400359,3,78.75,-1.534861957,-0.32743894,1.118753832,11,258.75,0.467792845,1.016257837,3.122553821,10,236.25,-2.522095396,-1.84102612
2020/8/19,0,0,0,0.400556328,0,0,0,1.449007626,3,78.75,-1.417118754,-0.302320258,1.368034154,11,258.75,0.572026277,1.242700038,3.813391598,4,101.25,2.869354587,2.511724455
2020/8/20,0,0,1.501042391,0.1,0,0,0,2.825076751,7,168.75,1.764926366,-2.205922386,1.33833667,7,168.75,0.836106727,-1.04502181,7.641247006,10,236.25,-6.171856436,-4.505201876
2020/8/21,1.2,1.835564054,0.6,0,1.4,1.602225313,0.5,4.259539336,7,168.75,2.661086386,-3.326002797,1.723564061,7,168.75,1.076772039,-1.345821328,10.75676946,9,213.75,10.67720964,1.305865007
2020/8/22,2.5,1.029239766,0.700486449,0.7,1.5,2.803894298,1,2.936069198,8,191.25,-2.718765236,1.108520602,0.93089825,7,168.75,0.581565391,-0.726879115,8.075383152,10,236.25,-6.522509407,-4.761164152
2020/8/23,33.12300208,22.89655172,24.49964106,28.11952745,19.81375956,44.3,25.61779013,2.581158613,7,168.75,1.612541992,-2.015462257,1.632046265,12,281.25,0.12628786,-1.627152847,8.218855362,9,213.75,8.158066608,0.997763841
2020/8/24,0,0,0,0.199861207,0,0,0,1.460081264,4,101.25,1.098625925,0.961695573,2.059651151,12,281.25,0.159375958,-2.053475631,3.905830957,3,78.75,-3.819873821,-0.814910703
2020/8/25,1.6,2.435723951,3,0.1,1.7,0,1.5,1.995198606,3,78.75,-1.951289497,-0.416277283,1.837980109,11,258.75,0.768528267,1.669591322,5.986144568,10,236.25,-4.835025599,-3.529370234
2020/8/26,0.2,0.189473684,0,0.1,0,0,2.603616134,2.130971185,3,78.75,-2.084074076,-0.444604809,1.19468315,12,281.25,0.09244467,-1.191101092,6.217760871,10,236.25,-5.02210273,-3.665928862
2020/8/27,0,0,0,1.3,0,0.8,0,1.982932116,3,78.75,-1.93929296,-0.413718008,1.970109848,12,281.25,0.152447245,-1.964202803,7.469849958,10,236.25,-6.033418564,-4.404147911
2020/8/28,0,0,0,0,0,0,0,1.309157302,4,101.25,0.985064453,0.862288156,1.338192377,7,168.75,0.836016582,-1.044909141,7.190447179,10,236.25,-5.807744163,-4.239414861
2020/8/29,9.9,10.31984074,10.50729673,12,11.2,13.2907703,6.595419847,4.925655248,7,168.75,3.077232791,-3.846130259,1.18783607,7,168.75,0.742083626,-0.927505483,12.28459496,9,213.75,12.19373496,1.491342056
2020/8/30,18.4,17.15625,22.6,14.4,20.7,22.8,12.7,2.327139858,12,281.25,0.180074254,-2.320162318,1.651848747,10,236.25,-1.334202822,-0.973913298,6.119646164,2,56.25,5.848725412,-1.80068882
2020/8/31,0.199861207,0.177339901,0.200138985,0.5,0,0.100139082,0,1.260560287,3,78.75,-1.232818648,-0.263002695,1.56763185,11,258.75,0.655485543,1.424011348,4.425720472,3,78.75,-4.328321926,-0.923380203
2020/9/1,0.6,0.687350835,0.3,0,0.3,1.199167245,0.699029126,1.845551898,3,78.75,-1.804936122,-0.385055065,1.481121125,12,281.25,0.114609262,-1.476680231,3.347250805,9,213.75,3.322493683,0.40635413
2020/9/2,0.100069493,0,0,0,0,0,0,1.67396752,3,78.75,-1.637127868,-0.349255783,1.954004201,12,281.25,0.151200989,-1.948145446,6.339333871,2,56.25,6.0586874,-1.865331316
2020/9/3,0.299791811,0,0.801112656,0,0,0,0,1.646736352,4,101.25,1.239072983,1.084637614,1.813698052,12,281.25,0.140344089,-1.808259981,3.539682796,3,78.75,-3.461783625,-0.738517726
2020/9/4,0,0,0,0,0,0,0,1.590547461,4,101.25,1.196794123,1.047628299,1.349564625,12,281.25,0.10442941,-1.345518181,6.164220021,10,236.25,-4.978857637,-3.634361718
2020/9/5,0.499306519,0.078559738,0.3,0,0.199722607,0,0.299583911,1.367721536,3,78.75,-1.337621558,-0.285360767,0.929620278,12,281.25,0.071934086,-0.926832967,6.981959052,10,236.25,-5.639347724,-4.116492372
2020/9/6,0,0,0,0,0,0,0,1.529998297,3,78.75,-1.496327031,-0.319218113,2.629757343,12,281.25,0.203490817,-2.621872455,4.931209949,2,56.25,4.712902048,-1.450994778
2020/9/7,0,0,0,0,0,0,0,2.230816279,4,101.25,1.678559035,1.469347078,,,11.25,0,0,5.57938704,3,78.75,-5.456599307,-1.164080644
2020/9/8,0,0,0,0,0,0,0,2.883660419,5,123.75,-0.969570028,-2.715774544,1.581222935,12,281.25,0.122355147,-1.576481902,8.721951863,5,123.75,-2.932572454,-8.21416235
