date,R0002,R0003,R0004,R0005,R0006,R0007,R0008,WV5_x,WV5_y,WV6_x,WV6_y,WV7_x,WV7_y
0709-0712,9.118261271,9.305977174,6.298436523,6.316771399,8.434609724,,12.46202314,-1.214579995,0.726630627,-0.824906188,-0.078942437,-2.413385486,3.760729624
0804-0808,13.69171676,6.034467746,4.31026E-08,7.766394747,10.53673302,0,4.496299549,-2.54498124,-0.506228093,0.215783209,-1.084815924,-4.485274359,-6.71268643
0810-0817,17.8994446,18.02826529,4.31026E-08,19.77154983,19.42979543,0,13.24126993,-1.665383558,1.112773822,-0.295428017,-1.485216341,2.570367002,6.205414525
0819-0905,4.288876715,3.550368207,4.063107435,3.619996713,3.550842894,5.431011866,3.219714531,4.55E-08,1.696810836,0.322644078,-1.622042025,-3.828116213,-5.729179911
0909-0917,3.719748366,3.691845302,3.088360232,1.598192755,3.647045346,3.623984801,2.494381455,-0.257138981,1.292725157,-0.235568263,-1.184281157,-3.632900626,-5.437019184
0920-1002,3.624799512,4.621301161,3.756194835,1.982868279,2.666916952,2.097834242,2.28794325,-2.034076083,0.842542012,-1.035105167,0.205895273,-4.062211758,-6.0795286
1012-1015,1.414402657,1.316600104,1.299097892,0.364109056,1.321110147,1.534776403,0.460722149,-0.818259158,1.224611469,-0.239321221,-1.203148543,1.176752314,5.915932655
1027-1031,4.299548696,2.458058076,1.525139028,0.799913406,2.742935779,3.324513827,1.574583495,-0.269356541,-1.354146231,-9.96E-08,-1.239357152,-4.031389074,-6.033399201
1104-1106,0.133055904,0.046109318,0.133240848,0.831903383,0.199608168,0.233265374,0,0.462179324,-2.323533386,0.476757618,-2.39682345,3.481399662,5.210282607
1117-1123,0.33310188,0.47576009,0.11853532,0.049896201,0.299977271,0.402713055,0.149883939,0.53152188,-2.672142109,0.505260096,-2.540115145,0.410048441,2.06145247
