Date,RG001,RG002,RG003,RG004,RG005,RG006,RG007,RG008,WV,WD_d,WD(бу),WD,WD_x,WD_y
2020-07-01,5.259820813,4.088642659,4.217983651,4.288088643,3.969676085,4.372670807,4.366643694,4.088642659,6.230696779,8,191.25,3.34 ,-5.769551281,2.352415859
2020-07-02,0,0,0,0,0,0,0,0,3.809643199,11,258.75,4.52 ,1.592954392,3.460618096
2020-07-03,,,8.332198775,,,,,,8.292740214,1,33.75,0.59 ,-5.732714327,5.992122053
2020-07-04,,,0,,,,,,9.902421893,1,33.75,0.59 ,-6.845476211,7.155236879
2020-07-05,,,1.736932797,,,,,,6.376498744,8,191.25,3.34 ,-5.90456217,2.407463772
2020-07-06,,,0,,,,,,8.064984914,8,191.25,3.34 ,-7.468080327,3.04495614
2020-07-07,,,0,,,,,,10.42977388,8,191.25,3.34 ,-9.657846847,3.937788397
2020-07-08,0,,0,,0,0,0,,7.795086383,2,56.25,0.98 ,7.449992793,-2.293682433
2020-07-09,2.438012015,,2.580067189,,2.046617396,2.613726602,2.276679842,,2.254371795,2,56.25,0.98 ,2.154569276,-0.663342615
2020-07-10,0.12642669,0,0.104272266,0,0.127208481,0.128571429,0,0,4.617782046,2,56.25,0.98 ,4.413349804,-1.358769491
2020-07-11,3.619389587,4.2,3.263825929,2.603616134,2.573617021,3.376884422,3.310344828,5,9.378757498,2,56.25,0.98 ,8.963553748,-2.759673243
2020-07-12,0,0,0,0,0,0,0,0,10.71748202,1,33.75,0.59 ,-7.408921676,7.744178487
2020-07-13,4.071724138,5.352033661,4.023952096,4.235294118,2.68137931,4.077348066,3.374224673,4.87966805,8.037094168,7,168.75,2.95 ,5.021059834,-6.275654612
2020-07-14,0,0,0,0,0,0,0,0,8.941198601,1,33.75,0.59 ,-6.180989154,6.460681504
2020-07-15,0,0,0,0,0,0,0,0,6.813515681,1,33.75,0.59 ,-4.710136572,4.923272226
2020-07-16,1.786354238,2.68879668,2.023419204,1.79253112,1.092413793,1.888198758,1.488628532,2.885970974,7.812544407,2,56.25,0.98 ,7.466677939,-2.298819408
2020-07-17,6.852413793,7.180055402,5.317191283,6.095766829,2.977257064,6.062111801,4.372670807,7.972318339,9.445922658,2,56.25,0.98 ,9.027745463,-2.779436404
2020-07-18,7.422680412,10.05809129,8.250499667,7.384615385,3.475862069,7.850931677,5.064827586,11.44436766,13.74757285,1,33.75,0.59 ,-9.503602646,9.933644649
