,Date,W5,W6,W7,,,Date,W5,W6,W7
0,2020/5/1,639.5559416,918.7028571,355.3057679,,,2020/5/31,682.5153123,20794.56807,316.5390954
1,2020/5/2,638.1979167,820.512866,361.3576389,,,2020/6/30,7059.275658,3871.836908,363.2504198
2,2020/5/3,600.6921473,668.9570345,318.1909722,,,2020/7/31,6965.104912,2686.980521,259.4671907
3,2020/5/4,568.6875,556.2446143,401.2640723,,,2020/8/31,30125.10903,995.1530444,1141.761272
4,2020/5/5,512.4968728,60090.93636,210.1498538,,,2020/9/30,975.150613,22930.47599,6069.164392
5,2020/5/6,787.3715278,52061.55556,178.1388889,,,2020/10/31,51096.2611,652.0251135,399.0050609
6,2020/5/7,721.3958333,125370.6389,86.51736111,,,2020/11/30,71068.80677,1176.389514,300.8443449
7,2020/5/8,652.0694444,88361.02361,161.9128242,,,,,,
8,2020/5/9,483.9236111,3657.797917,259.0643564,,,,,,
9,2020/5/10,680.9444444,1705.164583,281.4027778,,,,,,
10,2020/5/11,578.1614475,487.6945024,334.1294363,,,,,,
11,2020/5/12,666.5625,470.8255733,330.2244614,,,,,,
12,2020/5/13,719.1507992,98516.22639,311.8819444,,,,,,
13,2020/5/14,749.7308503,14884.69284,337.2946491,,,,,,
14,2020/5/15,726.7038328,14571.87209,350.1331939,,,,,,
15,2020/5/16,670.2693111,238.7642981,342.1363953,,,,,,
16,2020/5/17,751.2684284,833.4589695,385.5834492,,,,,,
17,2020/5/18,577.7256944,374.3181818,326.7708333,,,,,,
18,2020/5/19,464.44375,4438.299096,343.4283698,,,,,,
19,2020/5/20,686.2263889,10986.07712,306.5095004,,,,,,
20,2020/5/21,630.3555556,15447.56016,356.2881944,,,,,,
21,2020/5/22,759.55625,1070.067268,361.5340278,,,,,,
22,2020/5/23,862.5256944,33563.25877,390.5125,,,,,,
23,2020/5/24,714.8582349,3594.638387,333.8421419,,,,,,
24,2020/5/25,614.1993056,30.52777778,223.6666667,,,,,,
25,2020/5/26,963.0639777,2964.909597,400.2426982,,,,,,
26,2020/5/27,716.6717663,357.8276104,287.4161447,,,,,,
27,2020/5/28,632.7123002,322.1702722,269.4412787,,,,,,
28,2020/5/29,611.1919332,2973.276966,385.6022253,,,,,,
29,2020/5/30,985.8859527,58468.47866,411.9631433,,,,,,
30,2020/5/31,720.0785268,5340.750348,399.9312022,,,,,,
31,2020/6/1,626.5055633,98581.86783,358.2670376,,,,,,
32,2020/6/2,487.2833333,1298.784746,306.0798611,,,,,,
33,2020/6/3,567.6180556,231.0680813,315.1293043,,,,,,
34,2020/6/4,652.4044944,1531.969063,343.3609551,,,,,,
35,2020/6/5,607.6680556,600.5131222,287.5207018,,,,,,
36,2020/6/6,414.8819444,581.7881647,193.35625,,,,,,
37,2020/6/7,602.1675939,625.4405594,243.8031989,,,,,,
38,2020/6/8,768.9123783,686.3956885,140.4707928,,,,,,
39,2020/6/9,585.8637943,467.4897959,282.1077137,,,,,,
40,2020/6/10,640.85625,516.4340278,269.2712843,,,,,,
41,2020/6/11,672.7555556,402.4479167,147.9791667,,,,,,
42,2020/6/12,564.3256944,467.3158996,330.6048611,,,,,,
43,2020/6/13,691.0576389,404.8090278,321.8972222,,,,,,
44,2020/6/14,466.4774149,443.6462821,313.1869354,,,,,,
45,2020/6/15,813.1875,428.71875,102.4944444,,,,,,
46,2020/6/16,823.1569444,656.0451389,39.64607911,,,,,,
47,2020/6/17,276.6757133,203.0514962,126.1106472,,,,,,
48,2020/6/18,478.6201389,484.1354167,245.3847222,,,,,,
49,2020/6/19,511.0916667,633.0902778,227.29375,,,,,,
50,2020/6/20,486.8873435,329.7663421,99.45218003,,,,,,
51,2020/6/21,561.2013889,529.4618056,140.60625,,,,,,
52,2020/6/22,879.3377345,730.5689046,179.561501,,,,,,
53,2020/6/23,682.7116053,773.7607789,337.8134601,,,,,,
54,2020/6/24,574.4874826,556.596662,4077.377903,,,,,,
55,2020/6/25,566.1848506,639.6077886,368.66713,,,,,,
56,2020/6/26,783.9326389,937.6354167,189.8159722,,,,,,
57,2020/6/27,619.2222222,513.1601124,152.0036576,,,,,,
58,2020/6/28,50952.66388,761.6184971,297.3375087,,,,,,
59,2020/6/29,84127.71091,478.9339819,270.1834607,,,,,,
60,2020/6/30,60958.73277,584.1157083,216.2280084,,,,,,
61,2020/7/1,42707.94649,698.9763561,309.0645833,,,,,,
62,2020/7/2,620.3824757,640.7253129,226.8727399,,,,,,
63,2020/7/3,37007.21528,809.0696379,329.0944444,,,,,,
64,2020/7/4,717.4801946,584.6330785,238.5135511,,,,,,
65,2020/7/5,761.4478442,698.0598053,409.0716273,,,,,,
66,2020/7/6,707.8034722,705.9305556,339.3548611,,,,,,
67,2020/7/7,616.7854167,782.5347222,323.1215278,,,,,,
68,2020/7/8,617.4236111,618.8125,223.6541667,,,,,,
69,2020/7/9,683.4979167,674.6805556,354.4194444,,,,,,
70,2020/7/10,721.3231411,686.3642288,293.0635379,,,,,,
71,2020/7/11,1248.325921,1250.366551,189.5420431,,,,,,
72,2020/7/12,853.5920778,12505.71369,146.4829743,,,,,,
73,2020/7/13,644.3988881,30699.62126,166.2918694,,,,,,
74,2020/7/14,859.4155664,842.5371786,187.6164095,,,,,,
75,2020/7/15,716.2395833,553.3993056,205.5149409,,,,,,
76,2020/7/16,793.0048747,533.6483287,224.5438719,,,,,,
77,2020/7/17,3344.665278,618.0604587,249.0715278,,,,,,
78,2020/7/18,33845.80486,1049.3125,386.8881944,,,,,,
79,2020/7/19,63555.95972,562.0354413,255.4138889,,,,,,
80,2020/7/20,2262.492008,498.2885953,230.0438108,,,,,,
81,2020/7/21,1888.050765,1760.60153,238.04375,,,,,,
82,2020/7/22,3445.697222,1581.802083,158.4451389,,,,,,
83,2020/7/23,3936.912317,3144.715379,211.948468,,,,,,
84,2020/7/24,5976.52606,3139.107714,265.8149965,,,,,,
85,2020/7/25,1549.720833,4398.03125,242.7770833,,,,,,
86,2020/7/26,695.7058414,389.0257302,269.6358582,,,,,,
87,2020/7/27,635.1514941,765.573975,372.2543433,,,,,,
88,2020/7/28,558.8596247,,255.4301598,,,,,,
89,2020/7/29,487.4840056,,220.4840056,,,,,,
90,2020/7/30,1349.009722,1052.908555,238.8305556,,,,,,
91,2020/7/31,2020.497564,3799.123177,282.5619777,,,,,,
92,2020/8/1,1639.722029,1838.044558,433.6643502,,,,,,
93,2020/8/2,734.1618056,712.615304,304.7673611,,,,,,
94,2020/8/3,1172.680556,1482.642857,232.3379694,,,,,,
95,2020/8/4,910.2853087,324.8681409,136.5003849,,,,,,
96,2020/8/5,14412.29051,1142.048555,86.81153846,,,,,,
97,2020/8/6,16144.60327,3637.734949,169.5953453,,,,,,
98,2020/8/7,9084.774503,4072.966132,186.9217191,,,,,,
99,2020/8/8,528.7854519,1182.803842,294.1814842,,,,,,
100,2020/8/9,511.1100583,725.5822416,316.8728198,,,,,,
101,2020/8/10,1437.210066,625.0164057,17822.66472,,,,,,
102,2020/8/11,95917.11864,804.8178694,5658.070162,,,,,,
103,2020/8/12,78684.28323,1394.014001,3232.477307,,,,,,
104,2020/8/13,23410.0652,762.0784983,312.45231,,,,,,
105,2020/8/14,52698.69076,1138.585516,338.966468,,,,,,
106,2020/8/15,105210.3238,431.0325901,211.5142857,,,,,,
107,2020/8/16,126231.2161,855.0629685,483.5302594,,,,,,
108,2020/8/17,89459.78725,744.5424739,389.9548387,,,,,,
109,2020/8/18,34077.98846,543.4179237,514.3684971,,,,,,
110,2020/8/19,2261.522694,829.5043384,500.0234261,,,,,,
111,2020/8/20,39719.94547,635.4188341,337.4,,,,,,
112,2020/8/21,28573.62944,371.8844086,268.2534395,,,,,,
113,2020/8/22,48820.99478,89.89071038,115.2572924,,,,,,
114,2020/8/23,92381.06389,1099.840179,260.965542,,,,,,
115,2020/8/24,16966.4625,788.0067659,443.1153564,,,,,,
116,2020/8/25,6287.974638,701.5029674,461.6797101,,,,,,
117,2020/8/26,355.6963388,729.5149051,354.4665708,,,,,,
118,2020/8/27,113.0552727,722.0385321,264.4435543,,,,,,
119,2020/8/28,3555.404641,394.4550073,211.9208999,,,,,,
120,2020/8/29,3481.48777,581.6950113,182.1576674,,,,,,
121,2020/8/30,20890.33862,1219.544562,415.9073276,,,,,,
122,2020/8/31,20435.95849,1023.35023,359.9562363,,,,,,
123,2020/9/1,824.1026012,705.9935897,292.3925234,,,,,,
124,2020/9/2,503.1420414,637.8373702,264.6126961,,,,,,
125,2020/9/3,196.0225352,664.8678571,320.4032372,,,,,,
126,2020/9/4,3684.215756,764.1029703,253.3773449,,,,,,
127,2020/9/5,5935.546237,737.9401993,296.643934,,,,,,
128,2020/9/6,2347.460145,550.141791,296.814708,,,,,,
129,2020/9/7,526.8415698,2447,382.5791001,,,,,,
130,2020/9/8,455.4191702,5312.502618,277.466762,,,,,,
131,2020/9/9,810.0228408,53781.63371,191.425608,,,,,,
132,2020/9/10,543.1805755,22703.18264,191.5855596,,,,,,
133,2020/9/11,400.0126404,32725.82834,199.3735955,,,,,,
134,2020/9/12,392.9643357,98286.02865,120.8055944,,,,,,
135,2020/9/13,700.6930984,97483.07692,168.4427313,,,,,,
136,2020/9/14,605.5539873,14222.87146,193.9448763,,,,,,
137,2020/9/15,547.3204225,1285.470976,392.2440225,,,,,,
138,2020/9/16,508.4824624,11952.68004,380.5043042,,,,,,
139,2020/9/17,407.825565,20240.24619,471.1692525,,,,,,
140,2020/9/18,464.8526912,40628.46011,287.3094393,,,,,,
141,2020/9/19,469.3317005,59342.5865,205.7858642,,,,,,
142,2020/9/20,603.7298271,25641.05375,81.46405229,,,,,,
143,2020/9/21,1107.767556,59484.91917,386.363764,,,,,,
144,2020/9/22,708.901138,25416.8231,287.7382646,,,,,,
145,2020/9/23,564.6025641,9200.385057,8414.459943,,,,,,
146,2020/9/24,694.8641975,898.9665763,20712.67841,,,,,,
147,2020/9/25,949.4132762,661.6186047,3487.058908,,,,,,
148,2020/9/26,509.0977223,1341.161412,41758.69276,,,,,,
149,2020/9/27,626.5461095,477.5706806,171.2606534,,,,,,
150,2020/9/28,758.1192197,1401.832189,4119.84811,,,,,,
151,2020/9/29,1400.770349,1471.029783,69053.87611,,,,,,
152,2020/9/30,1055.663462,7401.277914,34690.16536,,,,,,
153,2020/10/1,596.3203883,1975.204565,2415.417829,,,,,,
154,2020/10/2,552.6363636,659.8522727,4304.748252,,,,,,
155,2020/10/3,,,,,,,,,
156,2020/10/4,,,,,,,,,
157,2020/10/5,,,,,,,,,
158,2020/10/6,,,,,,,,,
159,2020/10/7,,,,,,,,,
160,2020/10/8,,,,,,,,,
161,2020/10/9,,,,,,,,,
162,2020/10/10,,,,,,,,,
163,2020/10/11,,,,,,,,,
164,2020/10/12,42379.32859,1362.688363,293.0720607,,,,,,
165,2020/10/13,80110.63702,3357.977134,95.83958152,,,,,,
166,2020/10/14,60495.30915,748.328972,323.6059942,,,,,,
167,2020/10/15,3622.854355,757.4597792,264.5677123,,,,,,
168,2020/10/16,1918.758815,422.9523389,397.8671875,,,,,,
169,2020/10/17,8848.347523,269.4423963,456.0733618,,,,,,
170,2020/10/18,2279.931373,452.8479675,305.6375087,,,,,,
171,2020/10/19,310.1912073,535.9589702,307.0153417,,,,,,
172,2020/10/20,452.0572626,254.7988959,340.0440252,,,,,,
173,2020/10/21,166.4766949,185.1763767,262.9526792,,,,,,
174,2020/10/22,221.9179986,134.5324675,325.3613621,,,,,,
175,2020/10/23,1612.904396,90.5716753,260.7698745,,,,,,
176,2020/10/24,32259.64627,202.5904523,82.70224719,,,,,,
177,2020/10/25,2134.678097,505.9356568,227.0967742,,,,,,
178,2020/10/26,3916.28715,733.6018519,449.3268539,,,,,,
179,2020/10/27,217898.9908,460.0643777,107.1971014,,,,,,
180,2020/10/28,288055.4384,438.542654,101.3319027,,,,,,
181,2020/10/29,141759.427,713.4412266,545.937636,,,,,,
182,2020/10/30,195234.7858,886.95875,70.34732272,,,,,,
183,2020/10/31,2852.486851,898.8688245,411.5272856,,,,,,
184,2020/11/1,462.6723525,951.1872822,411.4284712,,,,,,
185,2020/11/2,496.0147162,966.0950192,457.3309958,,,,,,
186,2020/11/3,49253.24194,731.1981758,305.4278711,,,,,,
187,2020/11/4,133265.4185,769.7581864,299.8227273,,,,,,
188,2020/11/5,121921.0747,514.914996,278.9865153,,,,,,
189,2020/11/6,2147.011323,812.3686827,495.3136977,,,,,,
190,2020/11/7,476.1335664,779.2666667,429.5699301,,,,,,
191,2020/11/8,17345.73178,777.3143336,365.6476868,,,,,,
192,2020/11/9,32632.25159,835.0032415,380.4135021,,,,,,
193,2020/11/10,104930.9845,586.2962656,187.6853353,,,,,,
194,2020/11/11,114388.6931,736.5186501,237.9753347,,,,,,
195,2020/11/12,93818.56329,606.625,230.522807,,,,,,
196,2020/11/13,12331.4,606.9298805,265.933101,,,,,,
197,2020/11/14,64571.22366,495.4900872,164.3192253,,,,,,
198,2020/11/15,74337.87885,495.4018765,125.4585436,,,,,,
199,2020/11/16,53848.04741,3574.758079,162.8545455,,,,,,
200,2020/11/17,210500.2717,6882.75057,116.6446043,,,,,,
201,2020/11/18,39891.59609,463.9054054,769.6719745,,,,,,
202,2020/11/19,4961.266225,729.4588608,426.6218274,,,,,,
203,2020/11/20,156188.0593,1609.398179,315.7911025,,,,,,
204,2020/11/21,76405.96197,873.8972179,156.4290053,,,,,,
205,2020/11/22,74045.6735,810.5954509,398.5138396,,,,,,
206,2020/11/23,182263.5779,686.9439406,172.1366412,,,,,,
