time,RPH_jy,year,month,day
2008/3/31,0,2008,3,31
2008/4/1,0,2008,4,1
2008/4/2,0,2008,4,2
2008/4/3,0,2008,4,3
2008/4/4,0,2008,4,4
2008/4/5,0,2008,4,5
2008/4/6,0,2008,4,6
2008/4/7,0.3,2008,4,7
2008/4/8,0,2008,4,8
2008/4/9,0,2008,4,9
2008/4/10,0.4,2008,4,10
2008/4/11,7.8,2008,4,11
2008/4/12,0,2008,4,12
2008/4/13,0,2008,4,13
2008/4/14,0,2008,4,14
2008/4/15,0,2008,4,15
2008/4/16,0,2008,4,16
2008/4/17,0,2008,4,17
2008/4/18,1.1,2008,4,18
2008/4/19,1.4,2008,4,19
2008/4/20,0.7,2008,4,20
2008/4/21,0,2008,4,21
2008/4/22,0,2008,4,22
2008/4/23,0,2008,4,23
2008/4/24,0,2008,4,24
2008/4/25,0,2008,4,25
2008/4/26,0,2008,4,26
2008/4/27,0,2008,4,27
2008/4/28,0,2008,4,28
2008/4/29,0,2008,4,29
2008/4/30,0,2008,4,30
2008/5/1,0,2008,5,1
2008/5/2,0.2,2008,5,2
2008/5/3,1.4,2008,5,3
2008/5/4,0,2008,5,4
2008/5/5,0,2008,5,5
2008/5/6,0,2008,5,6
2008/5/7,0.7,2008,5,7
2008/5/8,0,2008,5,8
2008/5/9,0,2008,5,9
2008/5/10,0,2008,5,10
2008/5/11,0,2008,5,11
2008/5/12,0,2008,5,12
2008/5/13,0,2008,5,13
2008/5/14,0,2008,5,14
2008/5/15,0,2008,5,15
2008/5/16,0.6,2008,5,16
2008/5/17,0.7,2008,5,17
2008/5/18,0.4,2008,5,18
2008/5/19,0,2008,5,19
2008/5/20,0,2008,5,20
2008/5/21,2.6,2008,5,21
2008/5/22,0,2008,5,22
2008/5/23,0,2008,5,23
2008/5/24,0,2008,5,24
2008/5/25,5.5,2008,5,25
2008/5/26,0.1,2008,5,26
2008/5/27,0.1,2008,5,27
2008/5/28,0,2008,5,28
2008/5/29,0,2008,5,29
2008/5/30,0,2008,5,30
2008/5/31,0,2008,5,31
2008/6/1,0,2008,6,1
2008/6/2,0,2008,6,2
2008/6/3,0,2008,6,3
2008/6/4,0,2008,6,4
2008/6/5,5.5,2008,6,5
2008/6/6,11.1,2008,6,6
2008/6/7,0,2008,6,7
2008/6/8,0,2008,6,8
2008/6/9,1.4,2008,6,9
2008/6/10,0.2,2008,6,10
2008/6/11,0.6,2008,6,11
2008/6/12,0,2008,6,12
2008/6/13,8.1,2008,6,13
2008/6/14,12.9,2008,6,14
2008/6/15,1.4,2008,6,15
2008/6/16,6.1,2008,6,16
2008/6/17,0,2008,6,17
2008/6/18,4.5,2008,6,18
2008/6/19,0,2008,6,19
2008/6/20,0,2008,6,20
