year,month,day,hour,P,T,RH,RPH,WD,WV,WV1,WV2
2008,6,1,0,722.1,11.1,46,0,290,4,0.342020062,-0.93969265
2008,6,1,1,722.7,13.3,37,0,309,2.4,0.62932032,-0.777146019
2008,6,1,2,723,13.8,42,0,330,4.3,0.866025355,-0.500000085
2008,6,1,3,723.2,15.5,38,0,25,4.3,0.90630779,0.422618255
2008,6,1,4,723.7,13,43,0,47,8,0.68199837,0.731353692
2008,6,1,5,723.8,12.5,41,0,324,4.9,0.809016938,-0.58778533
2008,6,1,6,723.4,13.7,34,0,288,8.5,0.309016913,-0.951056543
2008,6,1,7,723.4,12.6,38,0,2,2.9,0.999390827,0.034899496
2008,6,1,8,723.2,14.4,33,0,21,4.5,0.933580429,0.358367944
2008,6,1,9,723.6,12.5,38,0,44,3.6,0.719339809,0.694658361
2008,6,1,10,723.6,12,39,0,343,3.2,0.956304726,-0.292371802
2008,6,1,11,723.7,11.3,40,0,353,5.5,0.992546139,-0.121869448
2008,6,1,12,724,8.9,44,0,5,6.6,0.996194698,0.087155741
2008,6,1,13,724.2,8.5,46,0,26,6.8,0.89879405,0.43837114
2008,6,1,14,724.4,8.5,40,0,16,8.8,0.961261697,0.275637351
2008,6,1,15,724.3,8,43,0,17,7.6,0.956304757,0.2923717
2008,6,1,16,724.4,7.2,43,0,37,5.3,0.798635517,0.601815014
2008,6,1,17,724.3,7,43,0,49,2.3,0.65605904,0.754709571
2008,6,1,18,723.9,7.8,41,0,271,1.3,0.017452326,-0.999847697
2008,6,1,19,723.1,6.9,47,0,213,7.8,-0.838670602,-0.544638982
2008,6,1,20,722.5,7.2,45,0,217,8.7,-0.798635549,-0.601814972
2008,6,1,21,722.3,7.5,45,0,219,8.9,-0.777146002,-0.62932034
2008,6,1,22,722.3,7.6,48,0,224,8.4,-0.719339847,-0.694658322
2008,6,1,23,722.4,7.7,55,0,210,8.8,-0.866025435,-0.499999946
2008,6,2,0,722.7,8.5,55,0,213,7.7,-0.838670602,-0.544638982
2008,6,2,1,722.6,9.6,55,0,232,7.5,-0.61566153,-0.788010711
2008,6,2,2,722.4,10.9,48,0,237,8.2,-0.544639094,-0.83867053
2008,6,2,3,722.4,12.2,46,0,242,6.6,-0.469471626,-0.882947559
2008,6,2,4,722.5,13.4,38,0,260,7.6,-0.173648254,-0.98480774
2008,6,2,5,722.1,14.7,33,0,274,7.6,0.069756392,-0.997564056
2008,6,2,6,721.8,16.1,27,0,269,7.5,-0.017452487,-0.999847694
2008,6,2,7,721.3,16.1,24,0,272,6.1,0.034899416,-0.99939083
2008,6,2,8,721.3,15.6,24,0,282,9.6,0.207911609,-0.978147618
2008,6,2,9,721.3,15.1,27,0,292,7.8,0.374606513,-0.927183887
2008,6,2,10,721,15.3,27,0,310,10.1,0.642787539,-0.766044502
2008,6,2,11,721.6,14.6,25,0,282,9.5,0.207911609,-0.978147618
2008,6,2,12,722,13.4,28,0,283,8,0.224950972,-0.974370084
2008,6,2,13,722.6,12.5,30,0,333,7.3,0.891006479,-0.453990588
2008,6,2,14,722.9,11.6,30,0,314,8.6,0.694658303,-0.719339865
2008,6,2,15,723,10.9,31,0,299,10.5,0.484809542,-0.87461975
2008,6,2,16,722.7,11,31,0,313,10.8,0.681998292,-0.731353765
2008,6,2,17,722.6,10,28,0,302,9.1,0.529919188,-0.848048144
2008,6,2,18,722.6,8.8,30,0,289,10.5,0.325568073,-0.945518604
2008,6,2,19,722.1,8.3,34,0,286,13.2,0.275637274,-0.961261719
2008,6,2,20,722,7.9,32,0,288,16.2,0.309016913,-0.951056543
2008,6,2,21,722.3,7.9,33,0,290,16.6,0.342020062,-0.93969265
2008,6,2,22,722.1,8.9,29,0,296,16.1,0.438371068,-0.898794085
2008,6,2,23,722.5,8.4,33,0,321,11.8,0.777145901,-0.629320465
2008,6,3,0,723.5,7.9,42,0,314,8.3,0.694658303,-0.719339865
2008,6,3,1,723.7,8.9,37,0,310,8,0.642787539,-0.766044502
2008,6,3,2,723.8,9.7,34,0,299,10.1,0.484809542,-0.87461975
2008,6,3,3,724.6,13,30,0,311,7.7,0.656058959,-0.754709641
2008,6,3,4,724.7,14.5,32,0,295,7.5,0.422618182,-0.906307824
2008,6,3,5,724.5,15.1,31,0,336,2.9,0.913545417,-0.406736734
2008,6,3,6,724.3,14.3,34,0,301,4.6,0.515037998,-0.857167347
2008,6,3,7,724.1,14.3,34,0,294,5.4,0.406736563,-0.913545493
2008,6,3,8,724,15.7,31,0,312,8,0.669130537,-0.743144888
2008,6,3,9,723.7,15.5,31,0,293,5.4,0.390731048,-0.920504888
2008,6,3,10,723.6,15.4,33,0,336,3.9,0.913545417,-0.406736734
2008,6,3,11,723.7,12.5,39,0,20,6.4,0.939692623,0.342020138
2008,6,3,12,723.9,10.8,42,0,340,6.6,0.939692586,-0.342020238
2008,6,3,13,724.3,9.3,46,0,351,4.9,0.987688324,-0.156434568
2008,6,3,14,724.6,9,46,0,20,6.4,0.939692623,0.342020138
2008,6,3,15,724.9,8.9,44,0,7,6.5,0.992546152,0.121869341
2008,6,3,16,724.7,8.4,46,0,37,5.8,0.798635517,0.601815014
2008,6,3,17,724.5,7.3,48,0,53,6.5,0.601815036,0.798635501
2008,6,3,18,724.3,7.2,45,0,60,6,0.500000015,0.866025395
2008,6,3,19,723.9,6.6,49,0,35,4.9,0.81915205,0.573576428
2008,6,3,20,723.8,8.5,42,0,208,3.1,-0.882947622,-0.469471508
2008,6,3,21,723.6,9.2,45,0,219,5.6,-0.777146002,-0.62932034
2008,6,3,22,723.8,9.1,46,0,226,5.5,-0.694658419,-0.719339754
2008,6,3,23,724.1,9.7,45,0,225,3.7,-0.707106829,-0.707106734
2008,6,4,0,724,11.1,43,0,233,3.1,-0.601815079,-0.798635468
2008,6,4,1,724.4,12.3,41,0,233,1.7,-0.601815079,-0.798635468
2008,6,4,2,724.4,14.2,39,0,254,2,-0.275637429,-0.961261675
2008,6,4,3,724.3,15.2,37,0,260,2.1,-0.173648254,-0.98480774
2008,6,4,4,724.1,17.4,33,0,62,1.8,0.469471579,0.882947584
2008,6,4,5,723.6,18.5,33,0,330,1.8,0.866025355,-0.500000085
2008,6,4,6,723.1,20,31,0,340,2.9,0.939692586,-0.342020238
2008,6,4,7,722.5,19.3,31,0,103,2.5,-0.224951024,0.974370072
2008,6,4,8,721.9,18.9,33,0,65,2.3,0.422618279,0.906307779
2008,6,4,9,721.6,19.1,28,0,348,2.4,0.978147579,-0.207911792
2008,6,4,10,721.1,17.1,43,0,54,3.6,0.587785265,0.809016985
2008,6,4,11,721.1,13.7,53,0,90,2.9,2.67949E-08,1
2008,6,4,12,721.2,13.5,48,0,130,4.1,-0.64278758,0.766044468
2008,6,4,13,721.2,13.9,49,0,177,5.2,-0.998629532,0.052336009
2008,6,4,14,721.5,13.3,53,0,209,4.7,-0.874619737,-0.484809566
2008,6,4,15,721.5,12.6,62,0,210,5.2,-0.866025435,-0.499999946
2008,6,4,16,721.3,12.7,61,0,221,7.3,-0.754709623,-0.656058979
2008,6,4,17,720.9,11.4,78,0,222,8.4,-0.74314487,-0.669130557
2008,6,4,18,720.4,10.8,89,0,223,9.2,-0.731353747,-0.681998312
2008,6,4,19,720,10.3,92,0,220,9.2,-0.766044485,-0.64278756
2008,6,4,20,719.8,10.4,90,0,214,10.4,-0.829037608,-0.559192851
2008,6,4,21,719.8,9.4,96,0,206,12.2,-0.898794073,-0.438371092
2008,6,4,22,719.8,9.7,92,0,207,10.1,-0.891006552,-0.453990445
2008,6,4,23,720,10.1,88,0,209,9.6,-0.874619737,-0.484809566
2008,6,5,0,720.2,9.5,99,0,205,10,-0.906307813,-0.422618206
2008,6,5,1,720.4,10.5,96,0,206,9.7,-0.898794073,-0.438371092
2008,6,5,2,720.6,11.9,91,0,222,9,-0.74314487,-0.669130557
2008,6,5,3,720.9,11.5,85,0.1,223,7.8,-0.731353747,-0.681998312
2008,6,5,4,720.6,14.6,43,0,198,4.5,-0.951056535,-0.309016938
2008,6,5,5,720.5,13.4,81,0,254,5.1,-0.275637429,-0.961261675
2008,6,5,6,719.7,16,56,0,291,5.2,0.358367869,-0.933580458
2008,6,5,7,719.4,14.9,60,0,284,3.5,0.241921814,-0.970295747
2008,6,5,8,719.1,13.7,71,0,303,5,0.544638959,-0.838670617
2008,6,5,9,719.2,13.1,54,0,356,7,0.997564043,-0.069756579
2008,6,5,10,719.6,13.8,53,0,171,3,-0.987688333,0.156434515
2008,6,5,11,719.8,12.6,57,0,224,3.5,-0.719339847,-0.694658322
2008,6,5,12,720.1,12.2,57,0,334,3.6,0.898794003,-0.438371236
2008,6,5,13,720.7,12,58,0,193,2.8,-0.974370078,-0.224950998
2008,6,5,14,721,11.2,64,0,207,3.6,-0.891006552,-0.453990445
2008,6,5,15,721.6,10.6,68,0,10,4.1,0.984807754,0.173648175
2008,6,5,16,721.8,9.7,78,0,290,8.1,0.342020062,-0.93969265
2008,6,5,17,721.3,7.7,89,0,18,5,0.951056518,0.309016989
2008,6,5,18,720.4,5.9,98,0,12,13.2,0.978147601,0.207911687
2008,6,5,19,720.3,5.5,99,0,13,13.7,0.974370066,0.224951051
2008,6,5,20,720.1,5.5,99,0,19,15,0.945518577,0.325568149
2008,6,5,21,719.6,4.9,99,0,15,17.7,0.965925827,0.258819041
2008,6,5,22,720.8,5,99,1.2,15,12.3,0.965925827,0.258819041
2008,6,5,23,721.3,5,99,2,22,9.5,0.927183857,0.374606587
