year,month,day,hour,P,T,RH,RPH,WD,WV
2011,6,1,0,722.3,8.1,32,0,84,5.1
2011,6,1,1,722.6,8.7,33,0,87,4.8
2011,6,1,2,722.8,9.4,36,0,127,4.4
2011,6,1,3,722.9,9.4,33,0,126,4.3
2011,6,1,4,722.8,10.2,41,0,84,2.4
2011,6,1,5,722.6,10.5,40,0,105,1.9
2011,6,1,6,722.2,11.2,38,0,125,2
2011,6,1,7,721.8,13,38,0,188,1.9
2011,6,1,8,721.6,13.6,30,0,220,3.6
2011,6,1,9,721.6,12.7,32,0,241,5.5
2011,6,1,10,721.3,12.4,33,0,245,3.1
2011,6,1,11,721.6,10.2,44,0,224,3.6
2011,6,1,12,721.8,8.2,58,0,230,5.3
2011,6,1,13,722,7.6,65,0,232,7.8
2011,6,1,14,722.5,7.1,66,0,230,7.7
2011,6,1,15,722.5,6.6,60,0,232,8.6
2011,6,1,16,722.4,6.4,51,0,230,9.5
2011,6,1,17,721.9,6.1,46,0,230,10.4
2011,6,1,18,721.8,5.7,50,0,228,10.6
2011,6,1,19,721.5,5.3,55,0,229,11.1
2011,6,1,20,721.5,5.3,53,0,230,10.9
2011,6,1,21,721.5,5.1,57,0,229,11.4
2011,6,1,22,721.9,5,59,0,236,9.2
2011,6,1,23,722.2,5,62,0,233,8.7
2011,6,2,0,722.6,5.6,65,0,234,7.9
2011,6,2,1,722.9,9.1,49,0,204,2.9
2011,6,2,2,722.7,9.1,54,0,227,4.4
2011,6,2,3,722.7,9.4,57,0,233,3.1
2011,6,2,4,722.7,11.2,55,0,56,1.1
2011,6,2,5,722.5,9.9,61,0,240,2.9
2011,6,2,6,722.1,11.3,57,0,215,2.1
2011,6,2,7,721.6,12.4,57,0,204,1.8
2011,6,2,8,721.4,11.4,61,0,77,1.6
2011,6,2,9,721.1,12,59,0,197,1.3
2011,6,2,10,720.5,10.4,68,0,113,1.5
2011,6,2,11,720.5,9,75,0,103,1.5
2011,6,2,12,720.9,8.8,73,0,185,0.9
2011,6,2,13,721,7.2,79,0,205,1.7
2011,6,2,14,721.4,6.8,81,0,204,4.2
2011,6,2,15,721.6,5.9,87,0,215,5.7
2011,6,2,16,721.3,5.3,91,0,195,3.5
2011,6,2,17,720.5,5.3,90,0,212,3.9
2011,6,2,18,719.8,5,85,0,226,7.6
2011,6,2,19,719.1,5.2,86,0,222,8.5
2011,6,2,20,718.9,4.9,90,0,229,8.5
2011,6,2,21,718.9,4.9,93,0,218,9.8
2011,6,2,22,718.8,4.8,93,0,222,7.2
2011,6,2,23,718.7,4.7,93,0,229,9
2011,6,3,0,719.2,4.7,95,0,224,7.4
2011,6,3,1,719,6,87,0,229,7.3
2011,6,3,2,719.1,7.6,84,0,231,5.2
2011,6,3,3,719.1,6.9,88,0,233,5.7
2011,6,3,4,719,8.2,82,0,231,5.8
2011,6,3,5,719.2,9.9,75,0,240,3.8
2011,6,3,6,719,10.2,76,0,271,1.3
2011,6,3,7,718.8,11.2,74,0,247,0.8
2011,6,3,8,718.5,11.4,73,0,145,1.1
2011,6,3,9,718.5,11.8,74,0,1,2
2011,6,3,10,718.5,10.8,78,0,160,1.7
2011,6,3,11,718.7,9.8,82,0,79,1.6
2011,6,3,12,719.1,8.7,88,0,48,3.1
2011,6,3,13,719.6,7.7,92,0,230,0.3
